url,filing_uuid,filing_type,filing_type_display,filing_year,filing_period,filing_period_display,filing_document_url,filing_document_content_type,income,expenses,expenses_method,expenses_method_display,posted_by_name,dt_posted,termination_date,registrant_country,registrant_ppb_country,registrant_address_1,registrant_address_2,registrant_different_address,registrant_city,registrant_state,registrant_zip,registrant,client,lobbying_activities,conviction_disclosures,foreign_entities,affiliated_organizations
https://lda.senate.gov/api/v1/filings/fa42d12f-3eb5-4f67-9c7a-9de17927fe62/,fa42d12f-3eb5-4f67-9c7a-9de17927fe62,4AY,4th Quarter - Amendment (No Activity),2013,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/fa42d12f-3eb5-4f67-9c7a-9de17927fe62/print/,text/html,,,,,JESSICA OLSON,2014-01-06T10:28:39.967000-05:00,,United States of America,,"1707 L St, NW",Suite 850,False,Washington,DC,20036,"{'id': 322875, 'url': 'https://lda.senate.gov/api/v1/registrants/322875/', 'house_registrant_id': 39664, 'name': 'AYRES LAW GROUP LLP', 'description': 'Law firm', 'address_1': '1707 L St, NW', 'address_2': 'Suite 850', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20036', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JESSICA OLSON', 'contact_telephone': '+1 202-452-9211', 'dt_updated': '2022-04-06T16:07:18.858428-04:00'}","{'id': 187024, 'url': 'https://lda.senate.gov/api/v1/clients/187024/', 'client_id': 12, 'name': 'HONEYWELL INTERNATIONAL', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': 'NJ', 'state_display': 'New Jersey', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '1899-12-30'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/4464e7d7-4387-4e00-be65-c48c5a73898a/,4464e7d7-4387-4e00-be65-c48c5a73898a,4AY,4th Quarter - Amendment (No Activity),2013,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/4464e7d7-4387-4e00-be65-c48c5a73898a/print/,text/html,,,,,JESSICA OLSON,2014-01-06T10:31:40.993000-05:00,,United States of America,,"1707 L St, NW",Suite 850,False,Washington,DC,20036,"{'id': 322875, 'url': 'https://lda.senate.gov/api/v1/registrants/322875/', 'house_registrant_id': 39664, 'name': 'AYRES LAW GROUP LLP', 'description': 'Law firm', 'address_1': '1707 L St, NW', 'address_2': 'Suite 850', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20036', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JESSICA OLSON', 'contact_telephone': '+1 202-452-9211', 'dt_updated': '2022-04-06T16:07:18.858428-04:00'}","{'id': 187027, 'url': 'https://lda.senate.gov/api/v1/clients/187027/', 'client_id': 48, 'name': 'ALON USA', 'general_description': 'Refiner', 'client_government_entity': False, 'client_self_select': False, 'state': 'TX', 'state_display': 'Texas', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2011-01-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/75be89ad-b865-4abb-a62d-2758f4356b04/,75be89ad-b865-4abb-a62d-2758f4356b04,4AY,4th Quarter - Amendment (No Activity),2013,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/75be89ad-b865-4abb-a62d-2758f4356b04/print/,text/html,,,,,Augustine Tantillo - President,2014-01-07T19:01:43.693000-05:00,,United States of America,,10191 Simpson Lane,,False,Burke,VA,22015,"{'id': 36413, 'url': 'https://lda.senate.gov/api/v1/registrants/36413/', 'house_registrant_id': 32413, 'name': 'SRG & ASSOCIATES', 'description': 'Consulting', 'address_1': '913 Sunrunner Pl', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Wilmington', 'state': 'NC', 'state_display': 'North Carolina', 'zip': '28405', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'AUGUSTINE TANTILLO', 'contact_telephone': '+1 703-626-4017', 'dt_updated': '2024-01-02T08:24:50.371961-05:00'}","{'id': 145452, 'url': 'https://lda.senate.gov/api/v1/clients/145452/', 'client_id': 87, 'name': 'TEXTILE CLOTHING TECHNOLOGY CORP', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': 'NC', 'state_display': 'North Carolina', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2007-08-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/446299f8-45c6-4b03-aa30-e82e61d898d9/,446299f8-45c6-4b03-aa30-e82e61d898d9,4AY,4th Quarter - Amendment (No Activity),2013,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/446299f8-45c6-4b03-aa30-e82e61d898d9/print/,text/html,,,b,Method B - Reporting amounts under section 6033(b)(8) of the Internal Revenue Code,"Jeffrey T. Miller, Executive Director",2014-01-13T12:14:12.343000-05:00,,United States of America,,"1101 K Street, NW",Suite 700,True,WASHINGTON,DC,20036,"{'id': 90853, 'url': 'https://lda.senate.gov/api/v1/registrants/90853/', 'house_registrant_id': 36771, 'name': 'TREATED WOOD COUNCIL', 'description': None, 'address_1': '1101 K Street, NW', 'address_2': 'Suite 700', 'address_3': None, 'address_4': None, 'city': 'WASHINGTON', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20005', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JEFFREY T. MILLER', 'contact_telephone': '+1 202-463-2700', 'dt_updated': '2024-01-02T12:02:52.211800-05:00'}","{'id': 174535, 'url': 'https://lda.senate.gov/api/v1/clients/174535/', 'client_id': 12, 'name': 'TREATED WOOD COUNCIL', 'general_description': None, 'client_government_entity': False, 'client_self_select': True, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'DC', 'ppb_state_display': 'District of Columbia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2007-07-25'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/7eb10e7a-882b-455d-a0b2-f6c570c9454d/,7eb10e7a-882b-455d-a0b2-f6c570c9454d,4AY,4th Quarter - Amendment (No Activity),2013,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/7eb10e7a-882b-455d-a0b2-f6c570c9454d/print/,text/html,,,b,Method B - Reporting amounts under section 6033(b)(8) of the Internal Revenue Code,"Jeffrey T. Miller, Executive Director",2014-01-13T12:29:20.847000-05:00,,United States of America,,"1101 K Street, NW",Suite 700,True,WASHINGTON,DC,20005,"{'id': 90853, 'url': 'https://lda.senate.gov/api/v1/registrants/90853/', 'house_registrant_id': 36771, 'name': 'TREATED WOOD COUNCIL', 'description': None, 'address_1': '1101 K Street, NW', 'address_2': 'Suite 700', 'address_3': None, 'address_4': None, 'city': 'WASHINGTON', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20005', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JEFFREY T. MILLER', 'contact_telephone': '+1 202-463-2700', 'dt_updated': '2024-01-02T12:02:52.211800-05:00'}","{'id': 174535, 'url': 'https://lda.senate.gov/api/v1/clients/174535/', 'client_id': 12, 'name': 'TREATED WOOD COUNCIL', 'general_description': None, 'client_government_entity': False, 'client_self_select': True, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'DC', 'ppb_state_display': 'District of Columbia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2007-07-25'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/77e2bdaa-0aea-4e22-a970-5f3434b703ef/,77e2bdaa-0aea-4e22-a970-5f3434b703ef,4AY,4th Quarter - Amendment (No Activity),2013,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/77e2bdaa-0aea-4e22-a970-5f3434b703ef/print/,text/html,20000.00,,,,Robert Buckler,2014-01-13T19:46:53.507000-05:00,,United States of America,,P.O. BOX 49246,,False,MINNEAPOLIS,MN,55449,"{'id': 7348, 'url': 'https://lda.senate.gov/api/v1/registrants/7348/', 'house_registrant_id': 32333, 'name': 'MR. ROBERT BUCKLER', 'description': None, 'address_1': 'P.O. BOX 49246', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'MINNEAPOLIS', 'state': 'MN', 'state_display': 'Minnesota', 'zip': '55449', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MR. ROBERT BUCKLER', 'contact_telephone': '+1 763-786-2919', 'dt_updated': '2022-04-06T16:06:07.902716-04:00'}","{'id': 110721, 'url': 'https://lda.senate.gov/api/v1/clients/110721/', 'client_id': 12, 'name': 'UPM-KYMMENE INC', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': None, 'state_display': None, 'country': 'FI', 'country_display': 'Finland', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'FI', 'ppb_country_display': 'Finland', 'effective_date': '2007-08-15'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/f800dd37-fd67-4b6b-9a8d-540b11748390/,f800dd37-fd67-4b6b-9a8d-540b11748390,4AY,4th Quarter - Amendment (No Activity),2013,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/f800dd37-fd67-4b6b-9a8d-540b11748390/print/,text/html,,,,,"William McCann, Chief Operating Officer",2014-01-14T09:15:15.687000-05:00,,United States of America,,"1020 19th Street, NW",Suite 375,False,Washington,DC,20036,"{'id': 60550, 'url': 'https://lda.senate.gov/api/v1/registrants/60550/', 'house_registrant_id': 35365, 'name': 'STRATEGIC MARKETING INNOVATIONS', 'description': 'Federal relations firm', 'address_1': '200 Massachusetts Avenue', 'address_2': 'Suite 510', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'KENNETH WETZEL, JR.', 'contact_telephone': '+1 202-467-5459', 'dt_updated': '2024-01-26T10:21:03.693944-05:00'}","{'id': 161233, 'url': 'https://lda.senate.gov/api/v1/clients/161233/', 'client_id': 1004758, 'name': 'UNIVERSITY OF TENNESSEE', 'general_description': 'University', 'client_government_entity': True, 'client_self_select': False, 'state': 'TN', 'state_display': 'Tennessee', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2011-01-03'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/bf89f7f3-3db5-4e19-9364-bb1aada3af35/,bf89f7f3-3db5-4e19-9364-bb1aada3af35,4AY,4th Quarter - Amendment (No Activity),2013,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/bf89f7f3-3db5-4e19-9364-bb1aada3af35/print/,text/html,,,,,J. Brad Edwards,2014-01-14T10:44:51.413000-05:00,,United States of America,,"444 N. Capitol Street, NW",Suite 645,False,WASHINGTON,DC,20001,"{'id': 303575, 'url': 'https://lda.senate.gov/api/v1/registrants/303575/', 'house_registrant_id': 37881, 'name': 'JENKINS HILL CONSULTING, LLC', 'description': 'federal lobbying / consulting', 'address_1': '444 North Capitol Street, NW', 'address_2': 'Suite 601', 'address_3': None, 'address_4': None, 'city': 'WASHINGTON', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'J. BRAD EDWARDS', 'contact_telephone': '+1 202-544-7990', 'dt_updated': '2024-01-29T22:10:16.054002-05:00'}","{'id': 181045, 'url': 'https://lda.senate.gov/api/v1/clients/181045/', 'client_id': 1001078, 'name': 'VESTAGEN TEXTILES LLC', 'general_description': 'manufacturing healthcare textile apparel', 'client_government_entity': False, 'client_self_select': False, 'state': 'FL', 'state_display': 'Florida', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'FL', 'ppb_state_display': 'Florida', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2015-02-02'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/f7e760ce-20c6-4489-bb75-133ecd8bd914/,f7e760ce-20c6-4489-bb75-133ecd8bd914,4AY,4th Quarter - Amendment (No Activity),2013,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/f7e760ce-20c6-4489-bb75-133ecd8bd914/print/,text/html,,,,,HELEN DELICH BENTLEY,2014-01-14T11:00:04.543000-05:00,,United States of America,,408 Chapelwood Lane,,False,Lutherville,MD,21093,"{'id': 5995, 'url': 'https://lda.senate.gov/api/v1/registrants/5995/', 'house_registrant_id': 32547, 'name': 'HELEN DELICH BENTLEY', 'description': 'Business Development, Government Relations, International Trade', 'address_1': '408 Chapelwood Lane', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Lutherville', 'state': 'MD', 'state_display': 'Maryland', 'zip': '21093-2816', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'HELEN DELICH BENTLEY', 'contact_telephone': '+1 410-561-1777', 'dt_updated': '2022-04-06T16:04:30.323074-04:00'}","{'id': 107548, 'url': 'https://lda.senate.gov/api/v1/clients/107548/', 'client_id': 1001345, 'name': 'ADCOR INDUSTRIES, INC.', 'general_description': 'MACHINE TOOLING', 'client_government_entity': False, 'client_self_select': False, 'state': 'MD', 'state_display': 'Maryland', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2009-10-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/353e1382-54f9-4efa-a2d4-df7b79ae9862/,353e1382-54f9-4efa-a2d4-df7b79ae9862,4AY,4th Quarter - Amendment (No Activity),2013,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/353e1382-54f9-4efa-a2d4-df7b79ae9862/print/,text/html,,,a,Method A - Reporting amounts using LDA definitions only,Dawn Nunnery - Operations Manager,2014-01-14T13:51:01.110000-05:00,,United States of America,,"919 18th Street, NW",Suite 220,False,WASHINGTON,DC,20006,"{'id': 13905, 'url': 'https://lda.senate.gov/api/v1/registrants/13905/', 'house_registrant_id': 33397, 'name': 'EUROPEAN-AMERICAN BUSINESS COUNCIL KNOWN NOW AS TRANSATLANTIC BUSINESS COUNCIL', 'description': None, 'address_1': '919 18th Street, NW', 'address_2': 'Suite 220', 'address_3': None, 'address_4': None, 'city': 'WASHINGTON', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20006', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'TIM BENNETT', 'contact_telephone': '+1 703-966-1618', 'dt_updated': '2022-04-06T16:04:36.914053-04:00'}","{'id': 119408, 'url': 'https://lda.senate.gov/api/v1/clients/119408/', 'client_id': 12, 'name': 'EUROPEAN-AMERICAN BUSINESS COUNCIL KNOWN NOW AS TRANSATLANTIC BUSINESS COUNCIL', 'general_description': None, 'client_government_entity': False, 'client_self_select': True, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'DC', 'ppb_state_display': 'District of Columbia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '1996-02-14'}",[],[],[],[]
