url,filing_uuid,filing_type,filing_type_display,filing_year,filing_period,filing_period_display,filing_document_url,filing_document_content_type,income,expenses,expenses_method,expenses_method_display,posted_by_name,dt_posted,termination_date,registrant_country,registrant_ppb_country,registrant_address_1,registrant_address_2,registrant_different_address,registrant_city,registrant_state,registrant_zip,registrant,client,lobbying_activities,conviction_disclosures,foreign_entities,affiliated_organizations
https://lda.senate.gov/api/v1/filings/07baab6e-ae07-4c5d-9254-85d0c4e7d91a/,07baab6e-ae07-4c5d-9254-85d0c4e7d91a,3TY,3rd Quarter - Termination (No Activity),2020,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/07baab6e-ae07-4c5d-9254-85d0c4e7d91a/print/,text/html,,,,,Murray Liebman,2020-07-16T11:35:37.927000-04:00,2020-07-16,United States of America,,"2101 L Street NW, Suite 800",,False,Washington,DC,20037,"{'id': 46585, 'url': 'https://lda.senate.gov/api/v1/registrants/46585/', 'house_registrant_id': 34391, 'name': 'LIEBMAN & ASSOCIATES, INC.', 'description': 'Clean energy and environmental technology consulting', 'address_1': '2343 King Place NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20007', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MURRAY LIEBMAN', 'contact_telephone': '+1 202-841-2185', 'dt_updated': '2023-12-13T12:24:52.845950-05:00'}","{'id': 204513, 'url': 'https://lda.senate.gov/api/v1/clients/204513/', 'client_id': 1005965, 'name': 'LIGHTING SYSTEMS TECHNOLOGIES, INC.', 'general_description': 'Manufacturer/up-fitter of electric vehicles', 'client_government_entity': False, 'client_self_select': None, 'state': 'CO', 'state_display': 'Colorado', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CO', 'ppb_state_display': 'Colorado', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2020-05-07'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/609a16ee-ecdb-490f-8689-8a523b7d872a/,609a16ee-ecdb-490f-8689-8a523b7d872a,3TY,3rd Quarter - Termination (No Activity),2020,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/609a16ee-ecdb-490f-8689-8a523b7d872a/print/,text/html,,,a,Method A - Reporting amounts using LDA definitions only,MIchael Little,2020-07-17T22:17:44.067000-04:00,2020-07-03,United States of America,,10598 Blairsville Rd,,False,McLeansboro,IL,62859,"{'id': 401104628, 'url': 'https://lda.senate.gov/api/v1/registrants/401104628/', 'house_registrant_id': 401104628, 'name': 'SEA SERVICE FAMILY, CONSULTING', 'description': 'Veteran Consulting', 'address_1': '10598 Blairsville Rd', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'McLeansboro', 'state': 'IL', 'state_display': 'Illinois', 'zip': '62859', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MICHAEL J. LITTLE', 'contact_telephone': '+1 858-926-9903', 'dt_updated': '2022-04-06T16:07:23.516203-04:00'}","{'id': 202157, 'url': 'https://lda.senate.gov/api/v1/clients/202157/', 'client_id': 12, 'name': 'SEA SERVICE FAMILY, CONSULTING', 'general_description': None, 'client_government_entity': False, 'client_self_select': True, 'state': 'IL', 'state_display': 'Illinois', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'IL', 'ppb_state_display': 'Illinois', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2018-02-19'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/9b6d6452-981c-4635-b982-71eb22904983/,9b6d6452-981c-4635-b982-71eb22904983,3TY,3rd Quarter - Termination (No Activity),2020,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/9b6d6452-981c-4635-b982-71eb22904983/print/,text/html,7000.00,,,,Scott McClean,2020-07-21T13:00:48.190000-04:00,2020-08-12,United States of America,,512 C St. NE,,False,Washington,DC,20002,"{'id': 401105512, 'url': 'https://lda.senate.gov/api/v1/registrants/401105512/', 'house_registrant_id': 401105512, 'name': 'ECHELON GOVERNMENT AFFAIRS', 'description': 'Government relations consulting', 'address_1': '512 C St. NE', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20002', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'SCOTT MCCLEAN', 'contact_telephone': '+1 202-521-7701', 'dt_updated': '2024-01-20T15:52:21.408111-05:00'}","{'id': 203774, 'url': 'https://lda.senate.gov/api/v1/clients/203774/', 'client_id': 24, 'name': 'LITEYE SYSTEMS', 'general_description': 'Counter Unmanned Aerial Systems Research, Development, and Manufacturing', 'client_government_entity': False, 'client_self_select': None, 'state': 'CO', 'state_display': 'Colorado', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CO', 'ppb_state_display': 'Colorado', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2020-01-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/6ed83bd1-43a2-4ba2-a91b-1a45cdc104e6/,6ed83bd1-43a2-4ba2-a91b-1a45cdc104e6,3TY,3rd Quarter - Termination (No Activity),2020,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/6ed83bd1-43a2-4ba2-a91b-1a45cdc104e6/print/,text/html,,,a,Method A - Reporting amounts using LDA definitions only,Robert Hillert,2020-07-22T15:11:45.630000-04:00,2020-07-22,United States of America,,401 W. 15th,Suite 820,False,Austin,TX,78701,"{'id': 401104936, 'url': 'https://lda.senate.gov/api/v1/registrants/401104936/', 'house_registrant_id': 401104936, 'name': 'TEXAS ORTHOPAEDIC ASSOCIATION', 'description': 'Orthopedic surgery.', 'address_1': '401 W. 15th', 'address_2': 'Suite 820', 'address_3': None, 'address_4': None, 'city': 'Austin', 'state': 'TX', 'state_display': 'Texas', 'zip': '78701', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BOBBY HILLERT', 'contact_telephone': '+1 214-728-7672', 'dt_updated': '2022-04-06T16:08:30.850005-04:00'}","{'id': 202961, 'url': 'https://lda.senate.gov/api/v1/clients/202961/', 'client_id': 12, 'name': 'TEXAS ORTHOPAEDIC ASSOCIATION', 'general_description': 'Surprise Billing', 'client_government_entity': False, 'client_self_select': True, 'state': 'TX', 'state_display': 'Texas', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'TX', 'ppb_state_display': 'Texas', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2018-07-06'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/0d5cdeaa-d964-4280-b03d-5f4574ca6042/,0d5cdeaa-d964-4280-b03d-5f4574ca6042,3TY,3rd Quarter - Termination (No Activity),2020,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/0d5cdeaa-d964-4280-b03d-5f4574ca6042/print/,text/html,,,,,Micah Johnson,2020-07-30T10:03:28.800000-04:00,2020-07-01,United States of America,,P.O. Box 171,,False,Chattanooga,TN,37401,"{'id': 401105130, 'url': 'https://lda.senate.gov/api/v1/registrants/401105130/', 'house_registrant_id': 401105130, 'name': 'BRIDGE PUBLIC AFFAIRS, LLC', 'description': 'Government Relations and Public Affairs', 'address_1': 'P.O. Box 171', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Chattanooga', 'state': 'TN', 'state_display': 'Tennessee', 'zip': '37401', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'PRESLEY ABNEY', 'contact_telephone': '+1 423-771-4272', 'dt_updated': '2024-01-26T14:41:08.812766-05:00'}","{'id': 203272, 'url': 'https://lda.senate.gov/api/v1/clients/203272/', 'client_id': 36, 'name': 'THE PRESERVATION GROUP', 'general_description': 'Real estate acquisition, management and investment', 'client_government_entity': False, 'client_self_select': None, 'state': 'GA', 'state_display': 'Georgia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'GA', 'ppb_state_display': 'Georgia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2019-02-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/8988f1d1-528c-49e7-bfac-dae78b06fee8/,8988f1d1-528c-49e7-bfac-dae78b06fee8,3TY,3rd Quarter - Termination (No Activity),2020,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/8988f1d1-528c-49e7-bfac-dae78b06fee8/print/,text/html,,,,,Joshua Clause,2020-07-30T10:24:31.620000-04:00,2020-07-06,United States of America,,"810 7th Street, NE",,False,Washington,DC,20002,"{'id': 401104783, 'url': 'https://lda.senate.gov/api/v1/registrants/401104783/', 'house_registrant_id': 401104783, 'name': 'CLAUSE LAW P.L.L.C.', 'description': 'law and policy firm', 'address_1': '829 11thStreet, NE', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20002', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JOSHUA CLAUSE', 'contact_telephone': '+1 202-844-2750', 'dt_updated': '2024-01-30T15:04:29.679209-05:00'}","{'id': 202718, 'url': 'https://lda.senate.gov/api/v1/clients/202718/', 'client_id': 75, 'name': 'HABEMATOLEL POMO OF UPPER LAKE', 'general_description': '&#226;€‹federally recognized Indian tribe', 'client_government_entity': False, 'client_self_select': None, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CA', 'ppb_state_display': 'California', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2018-02-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/9ffc2ea8-4df3-4e79-89a9-1cbc14a101ea/,9ffc2ea8-4df3-4e79-89a9-1cbc14a101ea,3TY,3rd Quarter - Termination (No Activity),2020,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/9ffc2ea8-4df3-4e79-89a9-1cbc14a101ea/print/,text/html,,,,,Joel White,2020-07-31T15:17:32.460000-04:00,2020-07-31,United States of America,,"440 First St., NW",Suite 430,False,Washington,DC,20001,"{'id': 315592, 'url': 'https://lda.senate.gov/api/v1/registrants/315592/', 'house_registrant_id': 39410, 'name': 'HORIZON GOVERNMENT AFFAIRS', 'description': 'Health Care and Health Care Coverage', 'address_1': '440 First St., NW', 'address_2': 'Suite 430', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JOEL WHITE', 'contact_telephone': '+1 202-808-8856', 'dt_updated': '2024-01-01T12:08:36.219919-05:00'}","{'id': 185428, 'url': 'https://lda.senate.gov/api/v1/clients/185428/', 'client_id': 381, 'name': 'ACTION NOW INITIATIVE, LLC', 'general_description': 'Action Now Initiative seeks to improve the lives of individuals through political advocacy', 'client_government_entity': False, 'client_self_select': None, 'state': 'TX', 'state_display': 'Texas', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'TX', 'ppb_state_display': 'Texas', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2019-07-15'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/8d7ad373-28dc-4594-afd3-30270a8c992c/,8d7ad373-28dc-4594-afd3-30270a8c992c,3TY,3rd Quarter - Termination (No Activity),2020,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/8d7ad373-28dc-4594-afd3-30270a8c992c/print/,text/html,,,,,William Fox,2020-08-03T13:03:45.257000-04:00,2020-07-22,United States of America,,"300 M Street, SE",Suite 402,False,Washington,DC,20003,"{'id': 401104718, 'url': 'https://lda.senate.gov/api/v1/registrants/401104718/', 'house_registrant_id': 401104718, 'name': 'HUSCH BLACKWELL STRATEGIES', 'description': 'Government Affairs Consulting', 'address_1': '733 10th St. NW,', 'address_2': 'Suite 900', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'WILLIAM FOX', 'contact_telephone': '+1 202-899-3801', 'dt_updated': '2024-01-18T11:06:41.058264-05:00'}","{'id': 206455, 'url': 'https://lda.senate.gov/api/v1/clients/206455/', 'client_id': 517, 'name': 'KANSAS CITY AREA TRANSPORTATION SYSTEM', 'general_description': 'Regional Transportation Authority', 'client_government_entity': False, 'client_self_select': None, 'state': 'MO', 'state_display': 'Missouri', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'MO', 'ppb_state_display': 'Missouri', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2020-07-22'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/24b3c61c-4167-40e4-afea-bd419f10d8ab/,24b3c61c-4167-40e4-afea-bd419f10d8ab,3TY,3rd Quarter - Termination (No Activity),2020,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/24b3c61c-4167-40e4-afea-bd419f10d8ab/print/,text/html,,,,,Brian Pomper,2020-08-06T14:45:29.277000-04:00,2020-07-31,United States of America,,2001 K St NW,,False,WASHINGTON,DC,20006,"{'id': 682, 'url': 'https://lda.senate.gov/api/v1/registrants/682/', 'house_registrant_id': 31784, 'name': 'AKIN GUMP STRAUSS HAUER & FELD', 'description': 'Law firm', 'address_1': '2001 K St NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'WASHINGTON', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20006', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BRIAN POMPER', 'contact_telephone': '+1 202-887-4000', 'dt_updated': '2024-01-24T10:34:26.561445-05:00'}","{'id': 101253, 'url': 'https://lda.senate.gov/api/v1/clients/101253/', 'client_id': 1008353, 'name': 'CRANEMASTERS, INC.', 'general_description': 'Railroad support operations', 'client_government_entity': False, 'client_self_select': None, 'state': 'PA', 'state_display': 'Pennsylvania', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'PA', 'ppb_state_display': 'Pennsylvania', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2018-05-15'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/e78a4a2a-8f5a-4c17-862b-1bf47f6b6339/,e78a4a2a-8f5a-4c17-862b-1bf47f6b6339,3TY,3rd Quarter - Termination (No Activity),2020,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/e78a4a2a-8f5a-4c17-862b-1bf47f6b6339/print/,text/html,,,,,Brian Pomper,2020-08-06T14:47:30.447000-04:00,2020-07-31,United States of America,,2001 K St NW,,False,WASHINGTON,DC,20006,"{'id': 682, 'url': 'https://lda.senate.gov/api/v1/registrants/682/', 'house_registrant_id': 31784, 'name': 'AKIN GUMP STRAUSS HAUER & FELD', 'description': 'Law firm', 'address_1': '2001 K St NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'WASHINGTON', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20006', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BRIAN POMPER', 'contact_telephone': '+1 202-887-4000', 'dt_updated': '2024-01-24T10:34:26.561445-05:00'}","{'id': 101192, 'url': 'https://lda.senate.gov/api/v1/clients/101192/', 'client_id': 1007731, 'name': 'R.J. CORMAN RAILROAD GROUP', 'general_description': 'Full-service railroad construction, maintenance-of-way and emergency response company.', 'client_government_entity': False, 'client_self_select': None, 'state': 'KY', 'state_display': 'Kentucky', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'KY', 'ppb_state_display': 'Kentucky', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-11-08'}",[],[],[],[]
