url,filing_uuid,filing_type,filing_type_display,filing_year,filing_period,filing_period_display,filing_document_url,filing_document_content_type,income,expenses,expenses_method,expenses_method_display,posted_by_name,dt_posted,termination_date,registrant_country,registrant_ppb_country,registrant_address_1,registrant_address_2,registrant_different_address,registrant_city,registrant_state,registrant_zip,registrant,client,lobbying_activities,conviction_disclosures,foreign_entities,affiliated_organizations,issue_codes,i_NUMBER,i_EMPTY,c_id,c_url,c_client_id,c_name,c_general_description,c_client_government_entity,c_client_self_select,c_state,c_state_display,c_country,c_country_display,c_ppb_state,c_ppb_state_display,c_ppb_country,c_ppb_country_display,c_effective_date,r_id,r_url,r_house_registrant_id,r_name,r_description,r_address_1,r_address_2,r_address_3,r_address_4,r_city,r_state,r_state_display,r_zip,r_country,r_country_display,r_ppb_country,r_ppb_country_display,r_contact_name,r_contact_telephone,r_dt_updated
https://lda.senate.gov/api/v1/filings/2f647071-6acc-4558-86d4-027c9be42d1e/,2f647071-6acc-4558-86d4-027c9be42d1e,4TY,4th Quarter - Termination (No Activity),2017,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/2f647071-6acc-4558-86d4-027c9be42d1e/print/,text/html,,,,,Jessica Nickel,2017-10-17T11:02:43.287000-04:00,2017-10-01,United States of America,,718 7th Street NW,,False,Washington,DC,20001,"{'id': 401103384, 'url': 'https://lda.senate.gov/api/v1/registrants/401103384/', 'house_registrant_id': 401103384, 'name': 'BRIMLEY GROUP INC.', 'description': 'Government affairs', 'address_1': '4135 50th Street NW', 'address_2': 'Suite 100 PMB 7035', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20016', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JESSICA NICKEL', 'contact_telephone': '+1 202-302-1147', 'dt_updated': '2024-01-29T16:22:08.965591-05:00'}","{'id': 198771, 'url': 'https://lda.senate.gov/api/v1/clients/198771/', 'client_id': 12, 'name': 'ALKERMES, INC.', 'general_description': 'biopharmaceutical company', 'client_government_entity': False, 'client_self_select': None, 'state': 'MA', 'state_display': 'Massachusetts', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'MA', 'ppb_state_display': 'Massachusetts', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2014-07-11'}",[],[],[],[],[],0,1,198771,https://lda.senate.gov/api/v1/clients/198771/,12,"ALKERMES, INC.",biopharmaceutical company,False,,MA,Massachusetts,US,United States of America,MA,Massachusetts,US,United States of America,2014-07-11,401103384,https://lda.senate.gov/api/v1/registrants/401103384/,401103384,BRIMLEY GROUP INC.,Government affairs,4135 50th Street NW,Suite 100 PMB 7035,,,Washington,DC,District of Columbia,20016,US,United States of America,US,United States of America,JESSICA NICKEL,+1 202-302-1147,2024-01-29T16:22:08.965591-05:00
https://lda.senate.gov/api/v1/filings/d271a7e5-051c-4fe4-a0d8-83a9a8c73900/,d271a7e5-051c-4fe4-a0d8-83a9a8c73900,4TY,4th Quarter - Termination (No Activity),2017,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/d271a7e5-051c-4fe4-a0d8-83a9a8c73900/print/,text/html,,,,,John Czerwinski,2017-10-20T09:04:37.163000-04:00,2017-10-01,United States of America,,718 7th St NW,,False,Washington,DC,20001,"{'id': 401103384, 'url': 'https://lda.senate.gov/api/v1/registrants/401103384/', 'house_registrant_id': 401103384, 'name': 'BRIMLEY GROUP INC.', 'description': 'Government affairs', 'address_1': '4135 50th Street NW', 'address_2': 'Suite 100 PMB 7035', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20016', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JESSICA NICKEL', 'contact_telephone': '+1 202-302-1147', 'dt_updated': '2024-01-29T16:22:08.965591-05:00'}","{'id': 198782, 'url': 'https://lda.senate.gov/api/v1/clients/198782/', 'client_id': 140, 'name': 'NATIONAL COUNCIL FOR BEHAVIORAL HEALTH', 'general_description': 'Coalition organization supporting US mental health and addiction treatment organizations', 'client_government_entity': False, 'client_self_select': None, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'DC', 'ppb_state_display': 'District of Columbia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-03-01'}",[],[],[],[],[],0,1,198782,https://lda.senate.gov/api/v1/clients/198782/,140,NATIONAL COUNCIL FOR BEHAVIORAL HEALTH,Coalition organization supporting US mental health and addiction treatment organizations,False,,DC,District of Columbia,US,United States of America,DC,District of Columbia,US,United States of America,2017-03-01,401103384,https://lda.senate.gov/api/v1/registrants/401103384/,401103384,BRIMLEY GROUP INC.,Government affairs,4135 50th Street NW,Suite 100 PMB 7035,,,Washington,DC,District of Columbia,20016,US,United States of America,US,United States of America,JESSICA NICKEL,+1 202-302-1147,2024-01-29T16:22:08.965591-05:00
https://lda.senate.gov/api/v1/filings/560f5070-48b1-41fd-af5d-9c72cd14792c/,560f5070-48b1-41fd-af5d-9c72cd14792c,4TY,4th Quarter - Termination (No Activity),2017,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/560f5070-48b1-41fd-af5d-9c72cd14792c/print/,text/html,,,,,Robert Portman,2017-10-24T16:00:11.473000-04:00,2017-10-23,United States of America,,"1501 M Street, NW",Seventh Floor,False,Washington,DC,20005,"{'id': 32008, 'url': 'https://lda.senate.gov/api/v1/registrants/32008/', 'house_registrant_id': 32107, 'name': 'POWERS PYLES SUTTER & VERVILLE, P.C.', 'description': 'Law Firm.', 'address_1': '1501 M Street, NW', 'address_2': 'Seventh Floor', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20005', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'PETER THOMAS', 'contact_telephone': '+1 202-466-6550', 'dt_updated': '2023-07-28T16:37:42.675059-04:00'}","{'id': 139522, 'url': 'https://lda.senate.gov/api/v1/clients/139522/', 'client_id': 1003961, 'name': 'AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS', 'general_description': 'Nonprofit Medical Society', 'client_government_entity': False, 'client_self_select': False, 'state': 'IL', 'state_display': 'Illinois', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2009-06-29'}",[],[],[],[],[],0,1,139522,https://lda.senate.gov/api/v1/clients/139522/,1003961,AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,Nonprofit Medical Society,False,False,IL,Illinois,US,United States of America,,,US,United States of America,2009-06-29,32008,https://lda.senate.gov/api/v1/registrants/32008/,32107,"POWERS PYLES SUTTER & VERVILLE, P.C.",Law Firm.,"1501 M Street, NW",Seventh Floor,,,Washington,DC,District of Columbia,20005,US,United States of America,US,United States of America,PETER THOMAS,+1 202-466-6550,2023-07-28T16:37:42.675059-04:00
https://lda.senate.gov/api/v1/filings/39c702f1-98aa-4111-96c6-7ae4b41ef57e/,39c702f1-98aa-4111-96c6-7ae4b41ef57e,4TY,4th Quarter - Termination (No Activity),2017,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/39c702f1-98aa-4111-96c6-7ae4b41ef57e/print/,text/html,,,,,Robert Portman,2017-10-24T16:03:16.847000-04:00,2017-10-23,United States of America,,"1501 M Street, NW",Seventh Floor,False,Washington,DC,20005,"{'id': 32008, 'url': 'https://lda.senate.gov/api/v1/registrants/32008/', 'house_registrant_id': 32107, 'name': 'POWERS PYLES SUTTER & VERVILLE, P.C.', 'description': 'Law Firm.', 'address_1': '1501 M Street, NW', 'address_2': 'Seventh Floor', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20005', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'PETER THOMAS', 'contact_telephone': '+1 202-466-6550', 'dt_updated': '2023-07-28T16:37:42.675059-04:00'}","{'id': 139530, 'url': 'https://lda.senate.gov/api/v1/clients/139530/', 'client_id': 1004051, 'name': 'AMERICAN JOINT REPLACEMENT REGISTRY', 'general_description': 'National data registry for hip and knee replacements', 'client_government_entity': False, 'client_self_select': None, 'state': 'IL', 'state_display': 'Illinois', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'IL', 'ppb_state_display': 'Illinois', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2014-02-04'}",[],[],[],[],[],0,1,139530,https://lda.senate.gov/api/v1/clients/139530/,1004051,AMERICAN JOINT REPLACEMENT REGISTRY,National data registry for hip and knee replacements,False,,IL,Illinois,US,United States of America,IL,Illinois,US,United States of America,2014-02-04,32008,https://lda.senate.gov/api/v1/registrants/32008/,32107,"POWERS PYLES SUTTER & VERVILLE, P.C.",Law Firm.,"1501 M Street, NW",Seventh Floor,,,Washington,DC,District of Columbia,20005,US,United States of America,US,United States of America,PETER THOMAS,+1 202-466-6550,2023-07-28T16:37:42.675059-04:00
https://lda.senate.gov/api/v1/filings/d3b1c0ac-915b-4f75-b545-a1a7595403cb/,d3b1c0ac-915b-4f75-b545-a1a7595403cb,4TY,4th Quarter - Termination (No Activity),2017,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/d3b1c0ac-915b-4f75-b545-a1a7595403cb/print/,text/html,,,,,"Ronald M. Jacobs, Partner",2017-11-02T16:21:24.433000-04:00,2017-10-01,United States of America,,600 Massachusetts Avenue NW,,True,Washington,DC,20001,"{'id': 39941, 'url': 'https://lda.senate.gov/api/v1/registrants/39941/', 'house_registrant_id': 31958, 'name': 'VENABLE LLP', 'description': 'Law firm', 'address_1': '600 Massachusetts Avenue NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'RONALD M. JACOBS', 'contact_telephone': '+1 202-344-4000', 'dt_updated': '2024-01-30T12:06:26.397952-05:00'}","{'id': 149002, 'url': 'https://lda.senate.gov/api/v1/clients/149002/', 'client_id': 1006233, 'name': 'AMPHASTAR PHARMACEUTICALS INC.', 'general_description': 'Specialty and generic pharmaceutical company; injectable, inhalation &amp; other products', 'client_government_entity': False, 'client_self_select': False, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2012-02-01'}",[],[],[],[],[],0,1,149002,https://lda.senate.gov/api/v1/clients/149002/,1006233,AMPHASTAR PHARMACEUTICALS INC.,"Specialty and generic pharmaceutical company; injectable, inhalation &amp; other products",False,False,CA,California,US,United States of America,,,US,United States of America,2012-02-01,39941,https://lda.senate.gov/api/v1/registrants/39941/,31958,VENABLE LLP,Law firm,600 Massachusetts Avenue NW,,,,Washington,DC,District of Columbia,20001,US,United States of America,US,United States of America,RONALD M. JACOBS,+1 202-344-4000,2024-01-30T12:06:26.397952-05:00
https://lda.senate.gov/api/v1/filings/6419c3f8-a7b7-47d4-bb36-0f7df8fac2aa/,6419c3f8-a7b7-47d4-bb36-0f7df8fac2aa,4TY,4th Quarter - Termination (No Activity),2017,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/6419c3f8-a7b7-47d4-bb36-0f7df8fac2aa/print/,text/html,,,,,MURRAY LIEBMAN,2017-11-03T09:32:27.333000-04:00,2017-10-31,United States of America,,"2101 L Street NW, Suite 800",,True,Washington,DC,20037,"{'id': 46585, 'url': 'https://lda.senate.gov/api/v1/registrants/46585/', 'house_registrant_id': 34391, 'name': 'LIEBMAN & ASSOCIATES, INC.', 'description': 'Clean energy and environmental technology consulting', 'address_1': '2343 King Place NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20007', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MURRAY LIEBMAN', 'contact_telephone': '+1 202-841-2185', 'dt_updated': '2023-12-13T12:24:52.845950-05:00'}","{'id': 154243, 'url': 'https://lda.senate.gov/api/v1/clients/154243/', 'client_id': 1005674, 'name': 'SOUTHERN CALIFORNIA GAS COMPANY', 'general_description': 'Natural gas distribution utility', 'client_government_entity': False, 'client_self_select': None, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CA', 'ppb_state_display': 'California', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2014-03-31'}",[],[],[],[],[],0,1,154243,https://lda.senate.gov/api/v1/clients/154243/,1005674,SOUTHERN CALIFORNIA GAS COMPANY,Natural gas distribution utility,False,,CA,California,US,United States of America,CA,California,US,United States of America,2014-03-31,46585,https://lda.senate.gov/api/v1/registrants/46585/,34391,"LIEBMAN & ASSOCIATES, INC.",Clean energy and environmental technology consulting,2343 King Place NW,,,,Washington,DC,District of Columbia,20007,US,United States of America,US,United States of America,MURRAY LIEBMAN,+1 202-841-2185,2023-12-13T12:24:52.845950-05:00
https://lda.senate.gov/api/v1/filings/6e35fe07-8713-417a-b63c-73a9777fdc22/,6e35fe07-8713-417a-b63c-73a9777fdc22,4TY,4th Quarter - Termination (No Activity),2017,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/6e35fe07-8713-417a-b63c-73a9777fdc22/print/,text/html,,,,,"T.J. Petrizzo, Chairman & CEO",2017-11-06T16:03:58.283000-05:00,2017-10-23,United States of America,,"444 North Capitol Street, N.W.",Suite 601,False,Washington,DC,20001,"{'id': 305932, 'url': 'https://lda.senate.gov/api/v1/registrants/305932/', 'house_registrant_id': 38088, 'name': 'THE PETRIZZO GROUP, INC.', 'description': 'Government Relations and Strategic Communications Firm', 'address_1': '601 New Jersey Ave NW', 'address_2': 'Suite 830', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'T.J. PETRIZZO', 'contact_telephone': '+1 202-365-4583', 'dt_updated': '2024-01-06T16:09:04.068425-05:00'}","{'id': 181809, 'url': 'https://lda.senate.gov/api/v1/clients/181809/', 'client_id': 1005092, 'name': 'UNITED NEUROSCIENCE', 'general_description': 'Clinical stage biotech company dedicated to the development of therapies for the brain.', 'client_government_entity': False, 'client_self_select': None, 'state': 'TX', 'state_display': 'Texas', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'TX', 'ppb_state_display': 'Texas', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-10-16'}",[],[],[],[],[],0,1,181809,https://lda.senate.gov/api/v1/clients/181809/,1005092,UNITED NEUROSCIENCE,Clinical stage biotech company dedicated to the development of therapies for the brain.,False,,TX,Texas,US,United States of America,TX,Texas,US,United States of America,2017-10-16,305932,https://lda.senate.gov/api/v1/registrants/305932/,38088,"THE PETRIZZO GROUP, INC.",Government Relations and Strategic Communications Firm,601 New Jersey Ave NW,Suite 830,,,Washington,DC,District of Columbia,20001,US,United States of America,US,United States of America,T.J. PETRIZZO,+1 202-365-4583,2024-01-06T16:09:04.068425-05:00
https://lda.senate.gov/api/v1/filings/f8e78f67-5927-4c6c-ad19-666757e615a8/,f8e78f67-5927-4c6c-ad19-666757e615a8,4TY,4th Quarter - Termination (No Activity),2017,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/f8e78f67-5927-4c6c-ad19-666757e615a8/print/,text/html,,,,,KATHY HAMOR,2017-11-06T17:44:04.907000-05:00,2017-11-01,United States of America,,1100 North Glebe Road,Suite 1010,True,Arlington,VA,22201,"{'id': 8065, 'url': 'https://lda.senate.gov/api/v1/registrants/8065/', 'house_registrant_id': 31012, 'name': 'CAPITAL CONCEPTS', 'description': 'Lobbying firm', 'address_1': '1100 North Glebe Road', 'address_2': 'Suite 1010', 'address_3': None, 'address_4': None, 'city': 'Arlington', 'state': 'VA', 'state_display': 'Virginia', 'zip': '22201', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'KATHY HAMOR', 'contact_telephone': '+1 703-224-8082', 'dt_updated': '2022-04-06T16:04:33.023090-04:00'}","{'id': 111050, 'url': 'https://lda.senate.gov/api/v1/clients/111050/', 'client_id': 24, 'name': 'SAVINGS COALITION OF AMERICA', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2007-08-08'}",[],[],[],[],[],0,1,111050,https://lda.senate.gov/api/v1/clients/111050/,24,SAVINGS COALITION OF AMERICA,,False,,DC,District of Columbia,US,United States of America,,,US,United States of America,2007-08-08,8065,https://lda.senate.gov/api/v1/registrants/8065/,31012,CAPITAL CONCEPTS,Lobbying firm,1100 North Glebe Road,Suite 1010,,,Arlington,VA,Virginia,22201,US,United States of America,US,United States of America,KATHY HAMOR,+1 703-224-8082,2022-04-06T16:04:33.023090-04:00
https://lda.senate.gov/api/v1/filings/974de621-048a-46c7-8c27-cdac1b030267/,974de621-048a-46c7-8c27-cdac1b030267,4TY,4th Quarter - Termination (No Activity),2017,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/974de621-048a-46c7-8c27-cdac1b030267/print/,text/html,,,c,Method C - Reporting amounts under section 162(e) of the Internal Revenue Code,KATHY HAMOR,2017-11-06T17:49:06.593000-05:00,2017-11-01,United States of America,,1100 North Glebe Road,Suite 1010,False,Arlington,VA,22201,"{'id': 34433, 'url': 'https://lda.senate.gov/api/v1/registrants/34433/', 'house_registrant_id': 32650, 'name': 'THE SAVINGS COALITION OF AMERICA', 'description': None, 'address_1': '1100 North Glebe Road', 'address_2': 'Suite 1010', 'address_3': None, 'address_4': None, 'city': 'Arlington', 'state': 'VA', 'state_display': 'Virginia', 'zip': '22201', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'KATHY HAMOR', 'contact_telephone': '+1 703-224-8087', 'dt_updated': '2022-04-06T16:06:46.063431-04:00'}","{'id': 142912, 'url': 'https://lda.senate.gov/api/v1/clients/142912/', 'client_id': 12, 'name': 'SAVINGS COALITION OF AMERICA', 'general_description': None, 'client_government_entity': False, 'client_self_select': True, 'state': 'VA', 'state_display': 'Virginia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'VA', 'ppb_state_display': 'Virginia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2007-08-09'}",[],[],[],[],[],0,1,142912,https://lda.senate.gov/api/v1/clients/142912/,12,SAVINGS COALITION OF AMERICA,,False,True,VA,Virginia,US,United States of America,VA,Virginia,US,United States of America,2007-08-09,34433,https://lda.senate.gov/api/v1/registrants/34433/,32650,THE SAVINGS COALITION OF AMERICA,,1100 North Glebe Road,Suite 1010,,,Arlington,VA,Virginia,22201,US,United States of America,US,United States of America,KATHY HAMOR,+1 703-224-8087,2022-04-06T16:06:46.063431-04:00
https://lda.senate.gov/api/v1/filings/448774fd-c4e9-4e1b-8be7-0934992d4fbd/,448774fd-c4e9-4e1b-8be7-0934992d4fbd,4TY,4th Quarter - Termination (No Activity),2017,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/448774fd-c4e9-4e1b-8be7-0934992d4fbd/print/,text/html,,,,,Martin Frost,2017-11-07T11:54:48.727000-05:00,2017-10-31,United States of America,,417 N. Saint Asaph,,False,Alexandria,VA,22314,"{'id': 401104191, 'url': 'https://lda.senate.gov/api/v1/registrants/401104191/', 'house_registrant_id': 401104191, 'name': 'MARTIN FROST CONSULTING', 'description': 'lobbyist representing clients', 'address_1': '417 N. Saint Asaph', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Alexandria', 'state': 'VA', 'state_display': 'Virginia', 'zip': '22314', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MARTIN FROST', 'contact_telephone': '+1 703-706-5775', 'dt_updated': '2022-04-06T16:06:30.415592-04:00'}","{'id': 200922, 'url': 'https://lda.senate.gov/api/v1/clients/200922/', 'client_id': 12, 'name': 'DOMESTIC ENERGY PRODUCERS ALLIANCE', 'general_description': 'Trade Association representing domestic independent oil and gas producers', 'client_government_entity': False, 'client_self_select': None, 'state': 'OK', 'state_display': 'Oklahoma', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'OK', 'ppb_state_display': 'Oklahoma', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2016-10-20'}",[],[],[],[],[],0,1,200922,https://lda.senate.gov/api/v1/clients/200922/,12,DOMESTIC ENERGY PRODUCERS ALLIANCE,Trade Association representing domestic independent oil and gas producers,False,,OK,Oklahoma,US,United States of America,OK,Oklahoma,US,United States of America,2016-10-20,401104191,https://lda.senate.gov/api/v1/registrants/401104191/,401104191,MARTIN FROST CONSULTING,lobbyist representing clients,417 N. Saint Asaph,,,,Alexandria,VA,Virginia,22314,US,United States of America,US,United States of America,MARTIN FROST,+1 703-706-5775,2022-04-06T16:06:30.415592-04:00
