url,filing_uuid,filing_type,filing_type_display,filing_year,filing_period,filing_period_display,filing_document_url,filing_document_content_type,income,expenses,expenses_method,expenses_method_display,posted_by_name,dt_posted,termination_date,registrant_country,registrant_ppb_country,registrant_address_1,registrant_address_2,registrant_different_address,registrant_city,registrant_state,registrant_zip,registrant,client,lobbying_activities,conviction_disclosures,foreign_entities,affiliated_organizations
https://lda.senate.gov/api/v1/filings/247bfd45-05c6-4b2e-9e12-a10a6a48b616/,247bfd45-05c6-4b2e-9e12-a10a6a48b616,4AY,4th Quarter - Amendment (No Activity),2016,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/247bfd45-05c6-4b2e-9e12-a10a6a48b616/print/,text/html,,,,,Jeri MacAllister,2016-10-14T12:20:18.793000-04:00,,United States of America,,"1660 LINCOLN STREET, SUITE 2720",,False,DENVER,CO,80264,"{'id': 64213, 'url': 'https://lda.senate.gov/api/v1/registrants/64213/', 'house_registrant_id': 35538, 'name': 'HILL & ROBBINS, PC', 'description': 'Law firm, general counsel to Client.', 'address_1': '1660 LINCOLN STREET, SUITE 2720', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'DENVER', 'state': 'CO', 'state_display': 'Colorado', 'zip': '80264', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'PETER AMPE', 'contact_telephone': '+1 303-296-8100', 'dt_updated': '2024-01-27T12:00:24.757006-05:00'}","{'id': 162369, 'url': 'https://lda.senate.gov/api/v1/clients/162369/', 'client_id': 12, 'name': 'RIO GRANDE WATER CONSERVATION DISTRICT', 'general_description': None, 'client_government_entity': True, 'client_self_select': None, 'state': 'CO', 'state_display': 'Colorado', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CO', 'ppb_state_display': 'Colorado', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2007-08-03'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/42b4b825-f28c-4748-8b05-e0180217b723/,42b4b825-f28c-4748-8b05-e0180217b723,4AY,4th Quarter - Amendment (No Activity),2016,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/42b4b825-f28c-4748-8b05-e0180217b723/print/,text/html,,,a,Method A - Reporting amounts using LDA definitions only,Raven Duvall,2016-12-22T15:52:53.383000-05:00,,United States of America,,"1050 K Street, NW",Suite 1175,False,Washington,DC,20001,"{'id': 401104221, 'url': 'https://lda.senate.gov/api/v1/registrants/401104221/', 'house_registrant_id': 401104221, 'name': 'ALCOA CORP', 'description': 'aluminum manufacturing', 'address_1': '650 Massachusetts Avenue NW', 'address_2': 'Suite 600', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'LAURA E CHAMBERS', 'contact_telephone': '+1 669-252-3620', 'dt_updated': '2024-01-26T08:24:01.707546-05:00'}","{'id': 200992, 'url': 'https://lda.senate.gov/api/v1/clients/200992/', 'client_id': 12, 'name': 'ALCOA CORP', 'general_description': None, 'client_government_entity': False, 'client_self_select': True, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'DC', 'ppb_state_display': 'District of Columbia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2016-11-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/41d46cb9-cf85-495d-8ad7-356d42abbf23/,41d46cb9-cf85-495d-8ad7-356d42abbf23,4AY,4th Quarter - Amendment (No Activity),2016,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/41d46cb9-cf85-495d-8ad7-356d42abbf23/print/,text/html,,,,,Emanuel Lawrence Jr,2017-01-03T14:28:47-05:00,,United States of America,,34 ST JOHNS DR,,False,HAMPTON,VA,23666,"{'id': 400689053, 'url': 'https://lda.senate.gov/api/v1/registrants/400689053/', 'house_registrant_id': 400689053, 'name': 'CLERGY FINANCIAL STRATEGY AND TAX PLANNING INC', 'description': 'CHURCH AND CLERGY ACTIVITIES', 'address_1': '34 ST JOHNS DR', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'HAMPTON', 'state': 'VA', 'state_display': 'Virginia', 'zip': '23666', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'EMANUEL LAWRENCE JR', 'contact_telephone': '+1 757-325-7163', 'dt_updated': '2024-02-20T18:23:10.379244-05:00'}","{'id': 194255, 'url': 'https://lda.senate.gov/api/v1/clients/194255/', 'client_id': 24, 'name': 'CLERGY FINANCIAL STRATEGY AND TAX PLANNING INC', 'general_description': 'CHURCH AND CLERGY ACTIVITIES', 'client_government_entity': False, 'client_self_select': None, 'state': 'VA', 'state_display': 'Virginia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'VA', 'ppb_state_display': 'Virginia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2015-09-14'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/e9787c71-8b5f-4f34-8eda-a434eb933300/,e9787c71-8b5f-4f34-8eda-a434eb933300,4AY,4th Quarter - Amendment (No Activity),2016,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/e9787c71-8b5f-4f34-8eda-a434eb933300/print/,text/html,,,,,John R. Saler,2017-01-05T10:40:39-05:00,,United States of America,,2600 One Commerce Square,"2005 Market Street, 26th Floor",False,Philadelphia,PA,19103,"{'id': 67650, 'url': 'https://lda.senate.gov/api/v1/registrants/67650/', 'house_registrant_id': 35713, 'name': 'STRADLEY RONON STEVENS & YOUNG, LLP', 'description': 'Insurance Company', 'address_1': '2600 One Commerce Square', 'address_2': '2005 Market Street, 26th Floor', 'address_3': None, 'address_4': None, 'city': 'Philadelphia', 'state': 'PA', 'state_display': 'Pennsylvania', 'zip': '19103', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'WILLIAM R. SASSO', 'contact_telephone': '+1 215-564-8045', 'dt_updated': '2024-01-16T13:56:15.927756-05:00'}","{'id': 163945, 'url': 'https://lda.senate.gov/api/v1/clients/163945/', 'client_id': 191, 'name': 'CATHOLIC CEMETERY CONFERENCE', 'general_description': 'Religious organization', 'client_government_entity': False, 'client_self_select': False, 'state': 'IL', 'state_display': 'Illinois', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2010-04-13'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/b13b6680-a82d-4235-9897-ae04245335aa/,b13b6680-a82d-4235-9897-ae04245335aa,4AY,4th Quarter - Amendment (No Activity),2016,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/b13b6680-a82d-4235-9897-ae04245335aa/print/,text/html,,,,,David Gencarelli,2017-01-05T16:49:18-05:00,,United States of America,,"230 East Capitol Street, NE",,False,Washington,DC,20003,"{'id': 15918, 'url': 'https://lda.senate.gov/api/v1/registrants/15918/', 'house_registrant_id': 40079, 'name': 'DAVID GENCARELLI', 'description': 'Legislative and regulatory consultant', 'address_1': '1349 East Capitol Street, SE', 'address_2': 'Apt A', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20003', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'DAVID GENCARELLI', 'contact_telephone': '+1 202-256-6191', 'dt_updated': '2024-02-12T12:46:07.286199-05:00'}","{'id': 121516, 'url': 'https://lda.senate.gov/api/v1/clients/121516/', 'client_id': 416, 'name': 'BEACHBODY COM (FORMERLY PRODUCT PARTNERS LLC)', 'general_description': 'Production and marketing of exercise and other wellness products', 'client_government_entity': False, 'client_self_select': False, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2010-05-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/3ebae709-01af-4e77-ab23-429537712edf/,3ebae709-01af-4e77-ab23-429537712edf,4AY,4th Quarter - Amendment (No Activity),2016,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/3ebae709-01af-4e77-ab23-429537712edf/print/,text/html,,,,,Bobby Seigle,2017-01-06T11:50:45-05:00,,United States of America,,683 SOUTH WASHINGTON ST.,,False,ALEXANDRIA,VA,22314,"{'id': 68970, 'url': 'https://lda.senate.gov/api/v1/registrants/68970/', 'house_registrant_id': 35722, 'name': 'CONTINENTAL CONSULTING GROUP CORPORATION', 'description': 'Professional business development services', 'address_1': '683 SOUTH WASHINGTON ST.', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'ALEXANDRIA', 'state': 'VA', 'state_display': 'Virginia', 'zip': '22314', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BOBBY SEIGLE', 'contact_telephone': '+1 703-683-7040', 'dt_updated': '2022-04-06T16:07:47.588693-04:00'}","{'id': 164232, 'url': 'https://lda.senate.gov/api/v1/clients/164232/', 'client_id': 265, 'name': 'AIR COMM CORPORATION', 'general_description': 'Environmental Control Systems for Rotary Wing and Fixed Wing Aircraft', 'client_government_entity': False, 'client_self_select': None, 'state': 'CO', 'state_display': 'Colorado', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CO', 'ppb_state_display': 'Colorado', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2007-08-09'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/1d07f1fa-ff9e-484c-a1d3-9ebc1073381d/,1d07f1fa-ff9e-484c-a1d3-9ebc1073381d,4AY,4th Quarter - Amendment (No Activity),2016,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/1d07f1fa-ff9e-484c-a1d3-9ebc1073381d/print/,text/html,,,,,Charles A. Samuels,2017-01-10T08:41:26-05:00,,United States of America,United States of America,"701 PENNSYLVANIA AVENUE, N.W.",Suite 900,False,WASHINGTON,DC,20004,"{'id': 25498, 'url': 'https://lda.senate.gov/api/v1/registrants/25498/', 'house_registrant_id': 31730, 'name': 'MINTZ LEVIN COHN FERRIS GLOVSKY AND POPEO, P.C.', 'description': 'Law Firm', 'address_1': '555 12th St. NW', 'address_2': 'Suite 1100', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20004', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'KENISHA RUSSELL', 'contact_telephone': '+1 202-434-7310', 'dt_updated': '2024-01-30T12:39:26.943445-05:00'}","{'id': 133246, 'url': 'https://lda.senate.gov/api/v1/clients/133246/', 'client_id': 24, 'name': 'ASSOCIATION OF HOME APPLIANCE MANUFACTURERS (AHAM)', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2007-08-07'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/21185810-e089-49a1-9682-b0784347f10b/,21185810-e089-49a1-9682-b0784347f10b,4AY,4th Quarter - Amendment (No Activity),2016,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/21185810-e089-49a1-9682-b0784347f10b/print/,text/html,,,b,Method B - Reporting amounts under section 6033(b)(8) of the Internal Revenue Code,Leslie Rudloff,2017-01-10T17:32:08-05:00,,United States of America,,"5100 Wisconsin Avenue, Suite 400",,False,Washington,DC,20016,"{'id': 400382759, 'url': 'https://lda.senate.gov/api/v1/registrants/400382759/', 'house_registrant_id': 400382759, 'name': 'PHYSICIANS COMMITTEE FOR RESPONSIBLE MEDICINE', 'description': 'not-for-profit, advocacy for nutrition, ethical medical research, and medical education', 'address_1': '5100 Wisconsin Avenue, Suite 400', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20016', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'DEBORAH PRESS', 'contact_telephone': '+1 202-717-8675', 'dt_updated': '2024-01-17T11:16:32.260198-05:00'}","{'id': 189796, 'url': 'https://lda.senate.gov/api/v1/clients/189796/', 'client_id': 12, 'name': 'PHYSICIANS COMMITTEE FOR RESPONSIBLE MEDICINE', 'general_description': None, 'client_government_entity': False, 'client_self_select': True, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'DC', 'ppb_state_display': 'District of Columbia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2009-01-13'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/56254e29-9b6d-4fbc-a170-dc2c472983e8/,56254e29-9b6d-4fbc-a170-dc2c472983e8,4AY,4th Quarter - Amendment (No Activity),2016,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/56254e29-9b6d-4fbc-a170-dc2c472983e8/print/,text/html,,,,,"William B. Driggers, Jr.",2017-01-12T06:13:00-05:00,,United States of America,,9616 Burke View Ave.,,False,Burke,VA,22015,"{'id': 313794, 'url': 'https://lda.senate.gov/api/v1/registrants/313794/', 'house_registrant_id': 39167, 'name': 'THE DLM GROUP', 'description': 'Government Relations', 'address_1': '47 Legend Drive', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Fredericksburg', 'state': 'VA', 'state_display': 'Virginia', 'zip': '22406', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MARCUS P. LUBIN', 'contact_telephone': '+1 202-258-9727', 'dt_updated': '2024-02-12T12:21:16.745709-05:00'}","{'id': 184674, 'url': 'https://lda.senate.gov/api/v1/clients/184674/', 'client_id': 1001273, 'name': 'MISSION TECHNOLOGIES INC', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': None, 'state_display': None, 'country': '', 'country_display': '* Undetermined', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': '', 'ppb_country_display': '* Undetermined', 'effective_date': '2007-08-11'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/bdce049f-0d91-40af-bf9e-1612de8dbbe5/,bdce049f-0d91-40af-bf9e-1612de8dbbe5,4AY,4th Quarter - Amendment (No Activity),2016,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/bdce049f-0d91-40af-bf9e-1612de8dbbe5/print/,text/html,,,,,Steve Clark,2017-01-16T12:04:03-05:00,,United States of America,,"1101 K Street, NW",Suite 650,False,Washington,DC,20005,"{'id': 76992, 'url': 'https://lda.senate.gov/api/v1/registrants/76992/', 'house_registrant_id': 36118, 'name': 'CGCN GROUP, LLC', 'description': 'Public Affairs Consultants', 'address_1': '1307 New York Ave., NW Suite 600', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20005', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'STEVE CLARK', 'contact_telephone': '+1 202-628-0028', 'dt_updated': '2024-01-15T14:09:54.195326-05:00'}","{'id': 169760, 'url': 'https://lda.senate.gov/api/v1/clients/169760/', 'client_id': 1002742, 'name': 'ATG AMERICAS TRADING GROUP S.A.', 'general_description': 'Electronic Trading company offering a multibroker platform of products and services', 'client_government_entity': False, 'client_self_select': None, 'state': None, 'state_display': None, 'country': 'BR', 'country_display': 'Brazil', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'BR', 'ppb_country_display': 'Brazil', 'effective_date': '2014-05-13'}",[],[],[],[]
