url,filing_uuid,filing_type,filing_type_display,filing_year,filing_period,filing_period_display,filing_document_url,filing_document_content_type,income,expenses,expenses_method,expenses_method_display,posted_by_name,dt_posted,termination_date,registrant_country,registrant_ppb_country,registrant_address_1,registrant_address_2,registrant_different_address,registrant_city,registrant_state,registrant_zip,registrant,client,lobbying_activities,conviction_disclosures,foreign_entities,affiliated_organizations
https://lda.senate.gov/api/v1/filings/68f1373e-72e1-4858-956c-9ab2e2349737/,68f1373e-72e1-4858-956c-9ab2e2349737,1@Y,1st Quarter - Termination Amendment (No Activity),2017,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/68f1373e-72e1-4858-956c-9ab2e2349737/print/,text/html,,,,,"Lawrence I. Kiern, Partner",2017-03-21T12:15:59.953000-04:00,2017-03-31,United States of America,,1700 K Street NW,,False,Washington,DC,20006,"{'id': 41682, 'url': 'https://lda.senate.gov/api/v1/registrants/41682/', 'house_registrant_id': 30511, 'name': 'WINSTON & STRAWN LLP', 'description': 'Law firm', 'address_1': '1901 L Street NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20036', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BRYANT E. GARDNER', 'contact_telephone': '+1 202-282-5893', 'dt_updated': '2024-01-30T11:39:26.291092-05:00'}","{'id': 152200, 'url': 'https://lda.senate.gov/api/v1/clients/152200/', 'client_id': 1004975, 'name': 'LIQUID ROBOTICS, INC.', 'general_description': 'Ocean Data Services', 'client_government_entity': False, 'client_self_select': False, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2013-05-24'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/b43bbd53-9558-4d6a-8107-a950601c4fa0/,b43bbd53-9558-4d6a-8107-a950601c4fa0,1@Y,1st Quarter - Termination Amendment (No Activity),2017,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/b43bbd53-9558-4d6a-8107-a950601c4fa0/print/,text/html,,,,,Andrew Quinn,2017-04-18T12:31:04.517000-04:00,2017-02-15,United States of America,,"1030 15th Street, NW",Suite 590 West,False,Washington,DC,20005,"{'id': 292573, 'url': 'https://lda.senate.gov/api/v1/registrants/292573/', 'house_registrant_id': 37315, 'name': 'MCALLISTER & QUINN, LLC', 'description': '&#226;€‹Federal and Foundation Grants and Government Relations consulting firm.', 'address_1': '1625 Eye Street, NW', 'address_2': 'Suite 750', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20006', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BRANDI MELSCHAU', 'contact_telephone': '+1 202-296-2741', 'dt_updated': '2024-01-23T14:22:09.651063-05:00'}","{'id': 178092, 'url': 'https://lda.senate.gov/api/v1/clients/178092/', 'client_id': 1004948, 'name': 'THE FEDERAL LAW ENFORCEMENT OFFICERS ASSOCIATION', 'general_description': ""Represent Federal Law Enforcement Officers' Issues"", 'client_government_entity': False, 'client_self_select': False, 'state': 'PA', 'state_display': 'Pennsylvania', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2008-04-29'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/095299d7-8cad-4185-a9dd-8daa14dae8ec/,095299d7-8cad-4185-a9dd-8daa14dae8ec,1@Y,1st Quarter - Termination Amendment (No Activity),2017,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/095299d7-8cad-4185-a9dd-8daa14dae8ec/print/,text/html,,,a,Method A - Reporting amounts using LDA definitions only,Renae Moore,2017-04-20T12:14:18.607000-04:00,2017-03-31,United States of America,,3520 Green Court,Suite 300,False,Ann Arbor,MI,48105,"{'id': 400725175, 'url': 'https://lda.senate.gov/api/v1/registrants/400725175/', 'house_registrant_id': 400725175, 'name': 'ALTARUM INSTITUTE', 'description': 'Non-Profit Research Institute', 'address_1': '3520 Green Court', 'address_2': 'Suite 300', 'address_3': None, 'address_4': None, 'city': 'Ann Arbor', 'state': 'MI', 'state_display': 'Michigan', 'zip': '48105', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'RENAE MOORE', 'contact_telephone': '+1 517-374-9121', 'dt_updated': '2022-04-06T16:07:12.751020-04:00'}","{'id': 194745, 'url': 'https://lda.senate.gov/api/v1/clients/194745/', 'client_id': 12, 'name': 'ALTARUM INSTITUTE', 'general_description': None, 'client_government_entity': False, 'client_self_select': True, 'state': 'MI', 'state_display': 'Michigan', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'MI', 'ppb_state_display': 'Michigan', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2011-03-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/9a5baaf4-cf17-4dfd-b83e-4bdcf9351b4b/,9a5baaf4-cf17-4dfd-b83e-4bdcf9351b4b,1@Y,1st Quarter - Termination Amendment (No Activity),2017,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/9a5baaf4-cf17-4dfd-b83e-4bdcf9351b4b/print/,text/html,,,,,"Christine M Warnke, Senior Governmental Affairs Advisor",2017-04-20T18:19:22.310000-04:00,2017-03-31,United States of America,,COLUMBIA SQUARE,555 THIRTEENTH STREET NW,False,WASHINGTON,DC,20004,"{'id': 18422, 'url': 'https://lda.senate.gov/api/v1/registrants/18422/', 'house_registrant_id': 30470, 'name': 'HOGAN LOVELLS US LLP', 'description': 'Law Firm', 'address_1': 'COLUMBIA SQUARE', 'address_2': '555 THIRTEENTH STREET NW', 'address_3': None, 'address_4': None, 'city': 'WASHINGTON', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20004', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'AARON CUTLER', 'contact_telephone': '+1 202-637-5648', 'dt_updated': '2024-01-24T11:51:27.365082-05:00'}","{'id': 124596, 'url': 'https://lda.senate.gov/api/v1/clients/124596/', 'client_id': 1007488, 'name': 'OCTAPHARMA USA, INC.', 'general_description': 'Sales and promotion of plasma derived products.', 'client_government_entity': False, 'client_self_select': None, 'state': 'NJ', 'state_display': 'New Jersey', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'NJ', 'ppb_state_display': 'New Jersey', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2016-07-05'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/dd0b0d2e-4c23-47ff-a0e4-292b4ca1d89c/,dd0b0d2e-4c23-47ff-a0e4-292b4ca1d89c,1@Y,1st Quarter - Termination Amendment (No Activity),2017,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/dd0b0d2e-4c23-47ff-a0e4-292b4ca1d89c/print/,text/html,,,a,Method A - Reporting amounts using LDA definitions only,Lindsay Muniz,2017-04-24T16:20:26.377000-04:00,2017-01-01,United States of America,,"140 E. 19th Ave., Ste 400",,False,Denver,CO,80203,"{'id': 401104280, 'url': 'https://lda.senate.gov/api/v1/registrants/401104280/', 'house_registrant_id': 401104280, 'name': 'COLORADO BANKERS ASSOCIATION', 'description': 'Banking association', 'address_1': '140 E. 19th Ave., Ste 400', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Denver', 'state': 'CO', 'state_display': 'Colorado', 'zip': '80203', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'LINDSAY MUNIZ', 'contact_telephone': '+1 303-825-1575', 'dt_updated': '2022-04-06T16:07:25.132770-04:00'}","{'id': 201126, 'url': 'https://lda.senate.gov/api/v1/clients/201126/', 'client_id': 12, 'name': 'COLORADO BANKERS ASSOCIATION', 'general_description': None, 'client_government_entity': True, 'client_self_select': True, 'state': 'CO', 'state_display': 'Colorado', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CO', 'ppb_state_display': 'Colorado', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-01-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/346b0baa-f2e1-4ae0-9758-ca923d6697d7/,346b0baa-f2e1-4ae0-9758-ca923d6697d7,1@Y,1st Quarter - Termination Amendment (No Activity),2017,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/346b0baa-f2e1-4ae0-9758-ca923d6697d7/print/,text/html,,,,,Daron Watts,2017-05-01T10:23:12.833000-04:00,2017-03-07,United States of America,,1501 K Street,,False,Washington,DC,20005,"{'id': 35230, 'url': 'https://lda.senate.gov/api/v1/registrants/35230/', 'house_registrant_id': 31204, 'name': 'SIDLEY AUSTIN LLP', 'description': 'law firm', 'address_1': '1501 K Street', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20005', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'KYLE J. FIET', 'contact_telephone': '+1 202-736-8446', 'dt_updated': '2024-01-25T10:12:45.050445-05:00'}","{'id': 143799, 'url': 'https://lda.senate.gov/api/v1/clients/143799/', 'client_id': 1003907, 'name': 'NRG ENERGY', 'general_description': 'Clean Energy Developer', 'client_government_entity': False, 'client_self_select': False, 'state': 'NJ', 'state_display': 'New Jersey', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2013-06-18'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/52477abd-fcee-4c3f-bdc5-72581e64b330/,52477abd-fcee-4c3f-bdc5-72581e64b330,1@Y,1st Quarter - Termination Amendment (No Activity),2017,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/52477abd-fcee-4c3f-bdc5-72581e64b330/print/,text/html,,,,,Khalil Saliba,2017-05-05T10:15:06.060000-04:00,2017-01-01,United States of America,,Saliba Action Strategies,1403 Cedar Street,False,Lewes,DE,19958,"{'id': 57533, 'url': 'https://lda.senate.gov/api/v1/registrants/57533/', 'house_registrant_id': 35236, 'name': 'MR. KHALIL SALIBA', 'description': 'Government Relations Consulting', 'address_1': 'Saliba Action Strategies', 'address_2': '1403 Cedar Street', 'address_3': None, 'address_4': None, 'city': 'Lewes', 'state': 'DE', 'state_display': 'Delaware', 'zip': '19958', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MR. KHALIL SALIBA', 'contact_telephone': '+1 202-262-8441', 'dt_updated': '2024-02-21T08:17:15.732958-05:00'}","{'id': 160347, 'url': 'https://lda.senate.gov/api/v1/clients/160347/', 'client_id': 12, 'name': 'BURGER KING CORPORATION', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': 'FL', 'state_display': 'Florida', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2007-08-13'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/9b762a41-3476-42c9-b4e8-6f5dd59f9950/,9b762a41-3476-42c9-b4e8-6f5dd59f9950,1@Y,1st Quarter - Termination Amendment (No Activity),2017,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/9b762a41-3476-42c9-b4e8-6f5dd59f9950/print/,text/html,,,,,Barbara Piazza,2017-05-08T13:01:44.317000-04:00,2017-01-02,United States of America,,1305 Franklin Avenue,,False,New York,NY,11530,"{'id': 30132, 'url': 'https://lda.senate.gov/api/v1/registrants/30132/', 'house_registrant_id': 33987, 'name': 'OHRENSTEIN & BROWN, LLP', 'description': 'Law Firm', 'address_1': '1305 Franklin Avenue', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'New York', 'state': 'NY', 'state_display': 'New York', 'zip': '11530', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BARBARA PIAZZA', 'contact_telephone': '+1 212-682-4500', 'dt_updated': '2022-04-06T16:07:50.690656-04:00'}","{'id': 135371, 'url': 'https://lda.senate.gov/api/v1/clients/135371/', 'client_id': 48, 'name': 'EDGEMERE DEVELOPMENT INC.', 'general_description': 'Real Estate Developers', 'client_government_entity': False, 'client_self_select': None, 'state': 'NY', 'state_display': 'New York', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'NY', 'ppb_state_display': 'New York', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2015-02-09'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/088113b1-71f8-4c64-b8b2-2d71c0d2ba6d/,088113b1-71f8-4c64-b8b2-2d71c0d2ba6d,1@Y,1st Quarter - Termination Amendment (No Activity),2017,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/088113b1-71f8-4c64-b8b2-2d71c0d2ba6d/print/,text/html,,,,,Mara Peltz,2017-07-20T15:22:37.057000-04:00,2017-01-01,United States of America,,"600 Pennsylvanaia Avenue, SE",Suite 300,False,"Washington, DC",DC,20003,"{'id': 310370, 'url': 'https://lda.senate.gov/api/v1/registrants/310370/', 'house_registrant_id': 38578, 'name': 'DELTA STRATEGY GROUP', 'description': 'Lobbying and Consulting Firm.', 'address_1': '600 Pennsylvanaia Avenue, SE', 'address_2': 'Suite 300', 'address_3': None, 'address_4': None, 'city': 'Washington, DC', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20003', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'SCOTT PARSONS', 'contact_telephone': '+1 202-547-3035', 'dt_updated': '2024-02-01T09:20:07.751489-05:00'}","{'id': 183607, 'url': 'https://lda.senate.gov/api/v1/clients/183607/', 'client_id': 1003275, 'name': 'TUDOR INVESTMENT CORPORATION', 'general_description': 'Asset management company', 'client_government_entity': False, 'client_self_select': None, 'state': 'CT', 'state_display': 'Connecticut', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CT', 'ppb_state_display': 'Connecticut', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2014-04-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/a3396e6e-de9b-4ac4-9a1e-03a6e714a808/,a3396e6e-de9b-4ac4-9a1e-03a6e714a808,1@Y,1st Quarter - Termination Amendment (No Activity),2017,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/a3396e6e-de9b-4ac4-9a1e-03a6e714a808/print/,text/html,20000.00,,,,"Glenn Willard, Of Counsel",2017-07-26T16:18:25.223000-04:00,2017-03-31,United States of America,,"2550 M STREET, NW",,False,WASHINGTON,DC,20037,"{'id': 30906, 'url': 'https://lda.senate.gov/api/v1/registrants/30906/', 'house_registrant_id': 31917, 'name': 'SQUIRE PATTON BOGGS', 'description': 'Law Firm', 'address_1': '2550 M STREET, NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'WASHINGTON', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20037', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'GLENN WILLARD', 'contact_telephone': '+1 202-457-6000', 'dt_updated': '2024-01-22T14:59:52.054923-05:00'}","{'id': 137631, 'url': 'https://lda.senate.gov/api/v1/clients/137631/', 'client_id': 1009025, 'name': 'NEUSTAR, INC.', 'general_description': 'provider of real-time cloud-based information & analysis', 'client_government_entity': False, 'client_self_select': None, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'DC', 'ppb_state_display': 'District of Columbia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2015-02-12'}",[],[],[],[]
