url,filing_uuid,filing_type,filing_type_display,filing_year,filing_period,filing_period_display,filing_document_url,filing_document_content_type,income,expenses,expenses_method,expenses_method_display,posted_by_name,dt_posted,termination_date,registrant_country,registrant_ppb_country,registrant_address_1,registrant_address_2,registrant_different_address,registrant_city,registrant_state,registrant_zip,registrant,client,lobbying_activities,conviction_disclosures,foreign_entities,affiliated_organizations
https://lda.senate.gov/api/v1/filings/7f5c786b-5c1c-423c-9bc9-f663fb8b4874/,7f5c786b-5c1c-423c-9bc9-f663fb8b4874,Q2Y,2nd Quarter - Report (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/7f5c786b-5c1c-423c-9bc9-f663fb8b4874/print/,text/html,,,,,ilijha-esrael bastien,2018-05-01T11:19:52.197000-04:00,,United States of America,,244 5th Avenue,Suite 2774,False,New York,NY,10001,"{'id': 401103167, 'url': 'https://lda.senate.gov/api/v1/registrants/401103167/', 'house_registrant_id': 401103167, 'name': 'BASTIEN, GOLDSTEIN, & BLACKTHORNE GROUP', 'description': 'Public Research  and Policy firm', 'address_1': '244 5th Avenue', 'address_2': 'Suite 2774', 'address_3': None, 'address_4': None, 'city': 'New York', 'state': 'NY', 'state_display': 'New York', 'zip': '10001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'ILIJHA ESRAEL BASTIEN', 'contact_telephone': '+1 212-726-2826', 'dt_updated': '2022-04-06T16:07:17.363399-04:00'}","{'id': 198064, 'url': 'https://lda.senate.gov/api/v1/clients/198064/', 'client_id': 12, 'name': 'BGB GROUP', 'general_description': 'Public Research and Policy firm', 'client_government_entity': False, 'client_self_select': False, 'state': 'MA', 'state_display': 'Massachusetts', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2013-12-02'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/1b730865-6d99-4668-9a57-849ae00b14e8/,1b730865-6d99-4668-9a57-849ae00b14e8,Q2Y,2nd Quarter - Report (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/1b730865-6d99-4668-9a57-849ae00b14e8/print/,text/html,,57000.00,a,Method A - Reporting amounts using LDA definitions only,J. Michael Baxley,2018-05-22T14:42:05.667000-04:00,,United States of America,United States of America,1 Riverwood Drive,P.O. Box 2946101,False,Moncks Corner,SC,29461,"{'id': 40048379, 'url': 'https://lda.senate.gov/api/v1/registrants/40048379/', 'house_registrant_id': 40019, 'name': 'SOUTH CAROLINA PUBLIC SERVICE AUTHORITY', 'description': 'Electric and water utility', 'address_1': '1 Riverwood Drive', 'address_2': 'P.O. Box 2946101', 'address_3': None, 'address_4': None, 'city': 'Moncks Corner', 'state': 'SC', 'state_display': 'South Carolina', 'zip': '29461', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MIKE BAXLEY', 'contact_telephone': '+1 843-761-7081', 'dt_updated': '2022-04-06T16:06:21.505861-04:00'}","{'id': 188547, 'url': 'https://lda.senate.gov/api/v1/clients/188547/', 'client_id': 12, 'name': 'SOUTH CAROLINA PUBLIC SERVICE AUTHORITY', 'general_description': None, 'client_government_entity': True, 'client_self_select': True, 'state': 'SC', 'state_display': 'South Carolina', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'SC', 'ppb_state_display': 'South Carolina', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2008-03-04'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/cc669544-6f46-4aa3-a632-870cb51fba36/,cc669544-6f46-4aa3-a632-870cb51fba36,Q2Y,2nd Quarter - Report (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/cc669544-6f46-4aa3-a632-870cb51fba36/print/,text/html,,,,,Amanda von Leer,2018-05-30T10:52:03.280000-04:00,,United States of America,United States of America,11850 Freedom Drive,#101,False,Reston,VA,20190,"{'id': 401104064, 'url': 'https://lda.senate.gov/api/v1/registrants/401104064/', 'house_registrant_id': 401104064, 'name': 'HILL IMPACT', 'description': 'Government Relations and Communications', 'address_1': '3033 Wilson Blvd', 'address_2': 'Suite E(617)', 'address_3': None, 'address_4': None, 'city': 'Arlington', 'state': 'VA', 'state_display': 'Virginia', 'zip': '22201', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'DAN HILL', 'contact_telephone': '+1 202-657-0011', 'dt_updated': '2022-04-06T16:07:30.042059-04:00'}","{'id': 200705, 'url': 'https://lda.senate.gov/api/v1/clients/200705/', 'client_id': 24, 'name': 'FLEX (FKA FLEXTRONICS INTERNATIONAL USA, INC)', 'general_description': '(EMS) provider; delivering complete design, engineering and manufacturing services', 'client_government_entity': False, 'client_self_select': None, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CA', 'ppb_state_display': 'California', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2016-06-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/b322846f-1ba8-4c73-8b0a-41a221ae8e76/,b322846f-1ba8-4c73-8b0a-41a221ae8e76,Q2Y,2nd Quarter - Report (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/b322846f-1ba8-4c73-8b0a-41a221ae8e76/print/,text/html,,,,,Amanda von Leer,2018-05-30T10:54:07.107000-04:00,,United States of America,United States of America,11850 Freedom Drive,#101,False,Reston,VA,20190,"{'id': 401104064, 'url': 'https://lda.senate.gov/api/v1/registrants/401104064/', 'house_registrant_id': 401104064, 'name': 'HILL IMPACT', 'description': 'Government Relations and Communications', 'address_1': '3033 Wilson Blvd', 'address_2': 'Suite E(617)', 'address_3': None, 'address_4': None, 'city': 'Arlington', 'state': 'VA', 'state_display': 'Virginia', 'zip': '22201', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'DAN HILL', 'contact_telephone': '+1 202-657-0011', 'dt_updated': '2022-04-06T16:07:30.042059-04:00'}","{'id': 200710, 'url': 'https://lda.senate.gov/api/v1/clients/200710/', 'client_id': 36, 'name': 'BIG BROTHERS BIG SISTERS OF AMERICA', 'general_description': 'Professionally supported mentoring for children facing adversity', 'client_government_entity': False, 'client_self_select': None, 'state': 'FL', 'state_display': 'Florida', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'FL', 'ppb_state_display': 'Florida', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2016-06-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/8543a113-1c52-4e04-a45b-5d8b5a905b21/,8543a113-1c52-4e04-a45b-5d8b5a905b21,Q2Y,2nd Quarter - Report (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/8543a113-1c52-4e04-a45b-5d8b5a905b21/print/,text/html,,,a,Method A - Reporting amounts using LDA definitions only,Philip Pascoe,2018-05-30T12:35:41.760000-04:00,,United Kingdom,,29 Queen Anne's Gate,,False,London,,,"{'id': 299274, 'url': 'https://lda.senate.gov/api/v1/registrants/299274/', 'house_registrant_id': 37662, 'name': 'OIL COMPANIES INTERNATIONAL MARINE FORUM', 'description': None, 'address_1': ""29 Queen Anne's Gate"", 'address_2': 'Suite 1200', 'address_3': 'London', 'address_4': ' SW1H 9BU', 'city': 'London', 'state': None, 'state_display': None, 'zip': 'SW1H', 'country': 'GB', 'country_display': 'United Kingdom', 'ppb_country': 'GB', 'ppb_country_display': 'United Kingdom', 'contact_name': 'PHILIP PASCOE', 'contact_telephone': '44 207654 1224', 'dt_updated': '2023-11-22T10:23:24.938926-05:00'}","{'id': 180152, 'url': 'https://lda.senate.gov/api/v1/clients/180152/', 'client_id': 12, 'name': 'OIL COMPANIES INTERNATIONAL MARINE FORUM', 'general_description': None, 'client_government_entity': False, 'client_self_select': True, 'state': None, 'state_display': None, 'country': 'GB', 'country_display': 'United Kingdom', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'GB', 'ppb_country_display': 'United Kingdom', 'effective_date': '2005-07-25'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/8e738adc-5be5-4c29-8253-8dd40226df1c/,8e738adc-5be5-4c29-8253-8dd40226df1c,Q2Y,2nd Quarter - Report (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/8e738adc-5be5-4c29-8253-8dd40226df1c/print/,text/html,,,,,John R Magnus,2018-06-11T22:46:02.677000-04:00,,United States of America,,1333 New Hampshire Ave. NW,11th Floor,True,Washington,DC,20036,"{'id': 294952, 'url': 'https://lda.senate.gov/api/v1/registrants/294952/', 'house_registrant_id': 37451, 'name': 'TRADEWINS, LLC', 'description': 'trade law & policy consulting', 'address_1': '1330 Connecticut Ave. NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20036', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JOHN R MAGNUS', 'contact_telephone': '+1 202-744-0368', 'dt_updated': '2024-02-05T12:54:23.521338-05:00'}","{'id': 179033, 'url': 'https://lda.senate.gov/api/v1/clients/179033/', 'client_id': 36, 'name': 'GE TRANSPORTATION', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': 'OH', 'state_display': 'Ohio', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2007-08-05'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/4c440230-4d86-418e-9413-bef8b2a56947/,4c440230-4d86-418e-9413-bef8b2a56947,Q2Y,2nd Quarter - Report (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/4c440230-4d86-418e-9413-bef8b2a56947/print/,text/html,,,,,John R Magnus,2018-06-11T22:55:11.693000-04:00,,United States of America,,1333 New Hampshire Ave. NW,11th Floor,False,Washington,DC,20036,"{'id': 294952, 'url': 'https://lda.senate.gov/api/v1/registrants/294952/', 'house_registrant_id': 37451, 'name': 'TRADEWINS, LLC', 'description': 'trade law & policy consulting', 'address_1': '1330 Connecticut Ave. NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20036', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JOHN R MAGNUS', 'contact_telephone': '+1 202-744-0368', 'dt_updated': '2024-02-05T12:54:23.521338-05:00'}","{'id': 179047, 'url': 'https://lda.senate.gov/api/v1/clients/179047/', 'client_id': 1002133, 'name': 'AMCANE SUGAR, LLC', 'general_description': 'sugar refinery', 'client_government_entity': False, 'client_self_select': None, 'state': 'MI', 'state_display': 'Michigan', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'MI', 'ppb_state_display': 'Michigan', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2014-12-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/a0a5729e-21ea-418a-ab45-ca977d100141/,a0a5729e-21ea-418a-ab45-ca977d100141,Q2Y,2nd Quarter - Report (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/a0a5729e-21ea-418a-ab45-ca977d100141/print/,text/html,,,,,John R Magnus,2018-06-11T22:57:13.943000-04:00,,United States of America,,1333 New Hampshire Ave. NW,11th Floor,False,Washington,DC,20036,"{'id': 294952, 'url': 'https://lda.senate.gov/api/v1/registrants/294952/', 'house_registrant_id': 37451, 'name': 'TRADEWINS, LLC', 'description': 'trade law & policy consulting', 'address_1': '1330 Connecticut Ave. NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20036', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JOHN R MAGNUS', 'contact_telephone': '+1 202-744-0368', 'dt_updated': '2024-02-05T12:54:23.521338-05:00'}","{'id': 179045, 'url': 'https://lda.senate.gov/api/v1/clients/179045/', 'client_id': 1002145, 'name': 'MATERIAUX BLANCHET INC.', 'general_description': 'sawmill', 'client_government_entity': False, 'client_self_select': None, 'state': None, 'state_display': None, 'country': 'CA', 'country_display': 'Canada', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'CA', 'ppb_country_display': 'Canada', 'effective_date': '2016-10-03'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/1713c01f-e253-47cb-b544-780163d88498/,1713c01f-e253-47cb-b544-780163d88498,Q2Y,2nd Quarter - Report (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/1713c01f-e253-47cb-b544-780163d88498/print/,text/html,,,,,Bruce fennie,2018-06-12T11:11:29.563000-04:00,,United States of America,,3757 Ascot Bend Ct.,,False,Bonita Springs,FL,34134,"{'id': 57577, 'url': 'https://lda.senate.gov/api/v1/registrants/57577/', 'house_registrant_id': 35235, 'name': 'BRUCE FENNIE & ASSOCIATES', 'description': 'Gov. Relations and Business Consulting', 'address_1': '3757 Ascot Bend Court', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Bonita Springs', 'state': 'FL', 'state_display': 'Florida', 'zip': '34134', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MR. BRUCE FENNIE', 'contact_telephone': '+1 585-230-7700', 'dt_updated': '2022-04-06T16:07:27.531074-04:00'}","{'id': 160375, 'url': 'https://lda.senate.gov/api/v1/clients/160375/', 'client_id': 164, 'name': 'TACTICAL ELECTRONICS CORPORATION', 'general_description': 'Communications Systems', 'client_government_entity': False, 'client_self_select': None, 'state': 'FL', 'state_display': 'Florida', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'FL', 'ppb_state_display': 'Florida', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-09-15'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/f68e7ead-690e-4f33-92ba-75cbb1ad3b6f/,f68e7ead-690e-4f33-92ba-75cbb1ad3b6f,Q2Y,2nd Quarter - Report (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/f68e7ead-690e-4f33-92ba-75cbb1ad3b6f/print/,text/html,30000.00,,,,Tom Foley,2018-06-19T09:50:35.883000-04:00,,United States of America,,315 Queen Street,,False,Alexandria,VA,22314,"{'id': 47336, 'url': 'https://lda.senate.gov/api/v1/registrants/47336/', 'house_registrant_id': 35233, 'name': 'LOWRY STRATEGIES', 'description': 'Governmental Consulting', 'address_1': '315 Queen Street', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Alexandria', 'state': 'VA', 'state_display': 'Virginia', 'zip': '22314', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'TOM FOLEY', 'contact_telephone': '+1 703-684-1203', 'dt_updated': '2022-04-06T16:07:36.272642-04:00'}","{'id': 154774, 'url': 'https://lda.senate.gov/api/v1/clients/154774/', 'client_id': 101, 'name': 'GAMING LABORATORIES INTERNATIONAL, LLC', 'general_description': 'Testing electronic gaming equipment', 'client_government_entity': False, 'client_self_select': False, 'state': 'NJ', 'state_display': 'New Jersey', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2009-01-01'}",[],[],[],[]
