url,filing_uuid,filing_type,filing_type_display,filing_year,filing_period,filing_period_display,filing_document_url,filing_document_content_type,income,expenses,expenses_method,expenses_method_display,posted_by_name,dt_posted,termination_date,registrant_country,registrant_ppb_country,registrant_address_1,registrant_address_2,registrant_different_address,registrant_city,registrant_state,registrant_zip,registrant,client,lobbying_activities,conviction_disclosures,foreign_entities,affiliated_organizations
https://lda.senate.gov/api/v1/filings/1018ca22-d0d9-4f46-9bf5-d693666e88a1/,1018ca22-d0d9-4f46-9bf5-d693666e88a1,4TY,4th Quarter - Termination (No Activity),2022,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/1018ca22-d0d9-4f46-9bf5-d693666e88a1/print/,text/html,,10000.00,A,A,Tralonne R. Shorter,2022-10-14T15:20:36-04:00,2022-10-14,United States of America,,"1310 L Street, Suite 900",,True,Washington,DC,20005,"{'id': 401104630, 'url': 'https://lda.senate.gov/api/v1/registrants/401104630/', 'house_registrant_id': 401104630, 'name': 'CENTER FOR LAW AND SOCIAL POLICY (CLASP)', 'description': 'An anti-poverty advocacy organization focused on economic justice and racial equity.', 'address_1': '1310 L Street, Suite 900', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20005', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'RRICHA DECANT', 'contact_telephone': '+1 202-570-4831', 'dt_updated': '2024-01-22T11:21:48.350574-05:00'}","{'id': 202156, 'url': 'https://lda.senate.gov/api/v1/clients/202156/', 'client_id': 12, 'name': 'CENTER FOR LAW AND SOCIAL POLICY (CLASP)', 'general_description': None, 'client_government_entity': False, 'client_self_select': True, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'DC', 'ppb_state_display': 'District of Columbia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2021-01-04'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/f95365ae-4990-47d2-bc79-823ac73b9421/,f95365ae-4990-47d2-bc79-823ac73b9421,4TY,4th Quarter - Termination (No Activity),2022,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/f95365ae-4990-47d2-bc79-823ac73b9421/print/,text/html,,,,,Andrew R. Miller,2022-10-24T13:38:50-04:00,2022-10-24,United States of America,,363 St. Clair Ave,,False,Grosse Pointe,MI,48230,"{'id': 401106406, 'url': 'https://lda.senate.gov/api/v1/registrants/401106406/', 'house_registrant_id': 401106406, 'name': 'DANIEL CONSULTING', 'description': 'Business Consulting', 'address_1': '363 St. Clair Ave', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Grosse Pointe', 'state': 'MI', 'state_display': 'Michigan', 'zip': '48230', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'SARA HERNLY', 'contact_telephone': '+1 517-318-3056', 'dt_updated': '2024-01-19T14:05:04.931748-05:00'}","{'id': 53069, 'url': 'https://lda.senate.gov/api/v1/clients/53069/', 'client_id': 53069, 'name': 'FORA PARTNERS ON BEHALF OF WESTMET HOLDINGS', 'general_description': 'Green Energy Business Consulting', 'client_government_entity': None, 'client_self_select': False, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'DC', 'ppb_state_display': 'District of Columbia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2022-10-11'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/621137c1-c283-4196-b468-240f2cb4062d/,621137c1-c283-4196-b468-240f2cb4062d,4TY,4th Quarter - Termination (No Activity),2022,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/621137c1-c283-4196-b468-240f2cb4062d/print/,text/html,,,,,Menda Fife,2022-10-26T19:09:11-04:00,2022-10-23,United States of America,,"601 Pennsylvania Avenue, NW",9th Floor - South Building,False,Washington,DC,20004,"{'id': 400586788, 'url': 'https://lda.senate.gov/api/v1/registrants/400586788/', 'house_registrant_id': 400586788, 'name': 'FIFESTRATEGIES, LLC', 'description': 'Government Relations', 'address_1': '601 Pennsylvania Avenue, NW', 'address_2': '9th Floor - South Building', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20004', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MENDA FIFE', 'contact_telephone': '+1 202-434-8342', 'dt_updated': '2024-01-20T09:23:16.779148-05:00'}","{'id': 213194, 'url': 'https://lda.senate.gov/api/v1/clients/213194/', 'client_id': 152, 'name': 'DRAKEN INTERNATIONAL, LLC', 'general_description': 'Aerospace and defense company', 'client_government_entity': False, 'client_self_select': None, 'state': 'TX', 'state_display': 'Texas', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'TX', 'ppb_state_display': 'Texas', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2021-12-16'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/bc095a3c-7279-4bf4-9e08-a0d2e9098364/,bc095a3c-7279-4bf4-9e08-a0d2e9098364,4TY,4th Quarter - Termination (No Activity),2022,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/bc095a3c-7279-4bf4-9e08-a0d2e9098364/print/,text/html,,,,,Murray Liebman,2022-10-27T09:41:25-04:00,2022-10-31,United States of America,,2343 King Place NW,,False,Washington,DC,20007,"{'id': 46585, 'url': 'https://lda.senate.gov/api/v1/registrants/46585/', 'house_registrant_id': 34391, 'name': 'LIEBMAN & ASSOCIATES, INC.', 'description': 'Clean energy and environmental technology consulting', 'address_1': '2343 King Place NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20007', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MURRAY LIEBMAN', 'contact_telephone': '+1 202-841-2185', 'dt_updated': '2023-12-13T12:24:52.845950-05:00'}","{'id': 154222, 'url': 'https://lda.senate.gov/api/v1/clients/154222/', 'client_id': 1005433, 'name': 'ARCIMOTO, LLC', 'general_description': 'Electric vehicle manufacturing', 'client_government_entity': False, 'client_self_select': False, 'state': 'OR', 'state_display': 'Oregon', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'OR', 'ppb_state_display': 'Oregon', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2021-06-21'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/930fd635-b929-4780-acd3-f70d93d37fe6/,930fd635-b929-4780-acd3-f70d93d37fe6,4TY,4th Quarter - Termination (No Activity),2022,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/930fd635-b929-4780-acd3-f70d93d37fe6/print/,text/html,,,,,"Murray Liebman, President",2022-10-27T09:43:57-04:00,2022-10-31,United States of America,,2343 King Place NW,,False,Washington,DC,20007,"{'id': 46585, 'url': 'https://lda.senate.gov/api/v1/registrants/46585/', 'house_registrant_id': 34391, 'name': 'LIEBMAN & ASSOCIATES, INC.', 'description': 'Clean energy and environmental technology consulting', 'address_1': '2343 King Place NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20007', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MURRAY LIEBMAN', 'contact_telephone': '+1 202-841-2185', 'dt_updated': '2023-12-13T12:24:52.845950-05:00'}","{'id': 50953, 'url': 'https://lda.senate.gov/api/v1/clients/50953/', 'client_id': 50953, 'name': 'STONEWATER MINERALS, LLC', 'general_description': 'Domestic Lithium exploration and production for electric vehicles', 'client_government_entity': None, 'client_self_select': False, 'state': 'TX', 'state_display': 'Texas', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'TX', 'ppb_state_display': 'Texas', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2022-04-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/b0ab03ba-2838-4cd0-88b1-4f726f84361a/,b0ab03ba-2838-4cd0-88b1-4f726f84361a,4TY,4th Quarter - Termination (No Activity),2022,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/b0ab03ba-2838-4cd0-88b1-4f726f84361a/print/,text/html,,,,,Eddy Pauley,2022-10-31T13:17:04-04:00,2022-10-31,United States of America,,P.O. Box 321316,,False,Cocoa Beach,FL,32932,"{'id': 47187, 'url': 'https://lda.senate.gov/api/v1/registrants/47187/', 'house_registrant_id': 34415, 'name': 'PAULEY MANAGEMENT INC.', 'description': 'Federal government affairs consulting.', 'address_1': 'P.O. Box 321316', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Cocoa Beach', 'state': 'FL', 'state_display': 'Florida', 'zip': '32932', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'EDDY PAULEY', 'contact_telephone': '+1 321-431-4343', 'dt_updated': '2024-01-16T10:49:12.887646-05:00'}","{'id': 154653, 'url': 'https://lda.senate.gov/api/v1/clients/154653/', 'client_id': 1001372, 'name': 'AMATEUR ATHLETIC UNION OF THE UNITED STATES, INC.', 'general_description': 'One of the largest, non-profit, volunteer, multi-sport event organizations in the world, t', 'client_government_entity': False, 'client_self_select': None, 'state': 'FL', 'state_display': 'Florida', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'FL', 'ppb_state_display': 'Florida', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2018-05-14'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/2dfbf493-089b-4f0e-867e-a6d9cc4aa379/,2dfbf493-089b-4f0e-867e-a6d9cc4aa379,4TY,4th Quarter - Termination (No Activity),2022,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/2dfbf493-089b-4f0e-867e-a6d9cc4aa379/print/,text/html,,,,,thomas barlow,2022-11-09T13:12:42-05:00,2022-11-09,United States of America,,Post Office Box 1948,,False,West Palm Beach,FL,33429,"{'id': 400420001, 'url': 'https://lda.senate.gov/api/v1/registrants/400420001/', 'house_registrant_id': 400420001, 'name': 'BARLOW CONSULTING, INC', 'description': 'Governmental Consulting firm', 'address_1': 'Post Office Box 1948', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'West Palm Beach', 'state': 'FL', 'state_display': 'Florida', 'zip': '33429', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BARLOW CONSULTING, INC.', 'contact_telephone': '+1 561-706-5878', 'dt_updated': '2023-06-06T16:25:14.693543-04:00'}","{'id': 190514, 'url': 'https://lda.senate.gov/api/v1/clients/190514/', 'client_id': 36, 'name': 'PALM BEACH COUNTY', 'general_description': 'Business Development', 'client_government_entity': True, 'client_self_select': False, 'state': 'FL', 'state_display': 'Florida', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'FL', 'ppb_state_display': 'Florida', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2011-07-19'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/43952717-0099-4cc1-81f9-b75d9171dcdf/,43952717-0099-4cc1-81f9-b75d9171dcdf,4TY,4th Quarter - Termination (No Activity),2022,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/43952717-0099-4cc1-81f9-b75d9171dcdf/print/,text/html,,,,,"Jonathon Jones, Partner",2022-11-11T11:06:13-05:00,2022-10-19,United States of America,,750 9th Street NW,Suite 501,False,Washington,DC,20001,"{'id': 20744, 'url': 'https://lda.senate.gov/api/v1/registrants/20744/', 'house_registrant_id': 31587, 'name': 'TIBER CREEK GROUP', 'description': 'Government Relations.', 'address_1': '750 9th Street NW', 'address_2': 'Suite 501', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'GRACE BAUM', 'contact_telephone': '+1 202-381-6896', 'dt_updated': '2024-01-02T11:27:52.004862-05:00'}","{'id': 207758, 'url': 'https://lda.senate.gov/api/v1/clients/207758/', 'client_id': 1006676, 'name': 'RETRACTABLE TECHNOLOGIES, INC.', 'general_description': 'Medical device manufacturer.', 'client_government_entity': False, 'client_self_select': None, 'state': 'TX', 'state_display': 'Texas', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'TX', 'ppb_state_display': 'Texas', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2020-12-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/e1e79ebe-bde8-4a5d-a3df-b630a12eeaad/,e1e79ebe-bde8-4a5d-a3df-b630a12eeaad,4TY,4th Quarter - Termination (No Activity),2022,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/e1e79ebe-bde8-4a5d-a3df-b630a12eeaad/print/,text/html,30000.00,,,,Bryan Zumwalt,2022-11-11T16:18:42-05:00,2022-10-31,United States of America,,555 12th Street NW,Suite 700,False,Washington,DC,20004,"{'id': 401054971, 'url': 'https://lda.senate.gov/api/v1/registrants/401054971/', 'house_registrant_id': 401054971, 'name': 'FTI GOVERNMENT AFFAIRS', 'description': 'Consulting, Lobbying and Government Affairs', 'address_1': '555 12th Street NW', 'address_2': 'Suite 700', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20004', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BRYAN ZUMWALT', 'contact_telephone': '+1 202-312-9100', 'dt_updated': '2024-01-29T10:05:01.507084-05:00'}","{'id': 208862, 'url': 'https://lda.senate.gov/api/v1/clients/208862/', 'client_id': 1166, 'name': 'COMMUNITY SERVICE SOCIETY OF NEW YORK (CSS)', 'general_description': 'Non-profit community-based service organization that supports low income families', 'client_government_entity': False, 'client_self_select': None, 'state': 'NY', 'state_display': 'New York', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'NY', 'ppb_state_display': 'New York', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2021-02-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/a2c10a35-90c9-4038-a1ba-e0f8d89cf5c8/,a2c10a35-90c9-4038-a1ba-e0f8d89cf5c8,4TY,4th Quarter - Termination (No Activity),2022,fourth_quarter,4th Quarter (Oct 1 - Dec 31),https://lda.senate.gov/filings/public/filing/a2c10a35-90c9-4038-a1ba-e0f8d89cf5c8/print/,text/html,30000.00,,,,Bryan Zumwalt,2022-11-11T16:21:36-05:00,2022-10-31,United States of America,,555 12th Street NW,Suite 700,False,Washington,DC,20004,"{'id': 401054971, 'url': 'https://lda.senate.gov/api/v1/registrants/401054971/', 'house_registrant_id': 401054971, 'name': 'FTI GOVERNMENT AFFAIRS', 'description': 'Consulting, Lobbying and Government Affairs', 'address_1': '555 12th Street NW', 'address_2': 'Suite 700', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20004', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BRYAN ZUMWALT', 'contact_telephone': '+1 202-312-9100', 'dt_updated': '2024-01-29T10:05:01.507084-05:00'}","{'id': 212360, 'url': 'https://lda.senate.gov/api/v1/clients/212360/', 'client_id': 1267, 'name': 'MEDICAID HEALTH PLANS OF AMERICA', 'general_description': 'Represents the interests of the Medicaid managed care industry through advocacy & research', 'client_government_entity': False, 'client_self_select': None, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'DC', 'ppb_state_display': 'District of Columbia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2021-10-01'}",[],[],[],[]
