url,filing_uuid,filing_type,filing_type_display,filing_year,filing_period,filing_period_display,filing_document_url,filing_document_content_type,income,expenses,expenses_method,expenses_method_display,posted_by_name,dt_posted,termination_date,registrant_country,registrant_ppb_country,registrant_address_1,registrant_address_2,registrant_different_address,registrant_city,registrant_state,registrant_zip,registrant,client,lobbying_activities,conviction_disclosures,foreign_entities,affiliated_organizations,issue_codes,i_NUMBER,i_EMPTY,c_id,c_url,c_client_id,c_name,c_general_description,c_client_government_entity,c_client_self_select,c_state,c_state_display,c_country,c_country_display,c_ppb_state,c_ppb_state_display,c_ppb_country,c_ppb_country_display,c_effective_date,r_id,r_url,r_house_registrant_id,r_name,r_description,r_address_1,r_address_2,r_address_3,r_address_4,r_city,r_state,r_state_display,r_zip,r_country,r_country_display,r_ppb_country,r_ppb_country_display,r_contact_name,r_contact_telephone,r_dt_updated
https://lda.senate.gov/api/v1/filings/1c5864f6-f33c-43b0-ac35-50fb46394392/,1c5864f6-f33c-43b0-ac35-50fb46394392,2AY,2nd Quarter - Amendment (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/1c5864f6-f33c-43b0-ac35-50fb46394392/print/,text/html,30000.0,,,,Jana McKeag,2018-06-19T09:57:37.697000-04:00,,United States of America,,315 Queen Street,,False,Alexandria,VA,22314,"{'id': 47336, 'url': 'https://lda.senate.gov/api/v1/registrants/47336/', 'house_registrant_id': 35233, 'name': 'LOWRY STRATEGIES', 'description': 'Governmental Consulting', 'address_1': '315 Queen Street', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Alexandria', 'state': 'VA', 'state_display': 'Virginia', 'zip': '22314', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'TOM FOLEY', 'contact_telephone': '+1 703-684-1203', 'dt_updated': '2022-04-06T16:07:36.272642-04:00'}","{'id': 154774, 'url': 'https://lda.senate.gov/api/v1/clients/154774/', 'client_id': 101, 'name': 'GAMING LABORATORIES INTERNATIONAL, LLC', 'general_description': 'Testing electronic gaming equipment', 'client_government_entity': False, 'client_self_select': False, 'state': 'NJ', 'state_display': 'New Jersey', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2009-01-01'}",[],[],[],[],[],0,1,154774,https://lda.senate.gov/api/v1/clients/154774/,101,"GAMING LABORATORIES INTERNATIONAL, LLC",Testing electronic gaming equipment,False,False,NJ,New Jersey,US,United States of America,,,US,United States of America,2009-01-01,47336,https://lda.senate.gov/api/v1/registrants/47336/,35233,LOWRY STRATEGIES,Governmental Consulting,315 Queen Street,,,,Alexandria,VA,Virginia,22314,US,United States of America,US,United States of America,TOM FOLEY,+1 703-684-1203,2022-04-06T16:07:36.272642-04:00
https://lda.senate.gov/api/v1/filings/abeb3982-1bdf-410b-a7b4-43aed8a2f6c1/,abeb3982-1bdf-410b-a7b4-43aed8a2f6c1,2AY,2nd Quarter - Amendment (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/abeb3982-1bdf-410b-a7b4-43aed8a2f6c1/print/,text/html,5000.0,,,,Donald J Polese,2018-07-09T17:56:04.543000-04:00,,United States of America,,2121 Rosecrans Avenue,Suite 2380,False,El Segundo,CA,90245,"{'id': 401047953, 'url': 'https://lda.senate.gov/api/v1/registrants/401047953/', 'house_registrant_id': 401047953, 'name': 'VECTIS STRATEGIES', 'description': 'public relations, public affairs, and government relations', 'address_1': '2121 Rosecrans Avenue', 'address_2': 'Suite 2380', 'address_3': None, 'address_4': None, 'city': 'El Segundo', 'state': 'CA', 'state_display': 'California', 'zip': '90243', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'DONALD POLESE', 'contact_telephone': '+1 310-414-9040', 'dt_updated': '2022-04-06T16:08:10.480932-04:00'}","{'id': 197302, 'url': 'https://lda.senate.gov/api/v1/clients/197302/', 'client_id': 125, 'name': 'ROSE BOWL OPERATING COMPANY', 'general_description': 'Athletic stadium operations', 'client_government_entity': False, 'client_self_select': None, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CA', 'ppb_state_display': 'California', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-12-12'}",[],[],[],[],[],0,1,197302,https://lda.senate.gov/api/v1/clients/197302/,125,ROSE BOWL OPERATING COMPANY,Athletic stadium operations,False,,CA,California,US,United States of America,CA,California,US,United States of America,2017-12-12,401047953,https://lda.senate.gov/api/v1/registrants/401047953/,401047953,VECTIS STRATEGIES,"public relations, public affairs, and government relations",2121 Rosecrans Avenue,Suite 2380,,,El Segundo,CA,California,90243,US,United States of America,US,United States of America,DONALD POLESE,+1 310-414-9040,2022-04-06T16:08:10.480932-04:00
https://lda.senate.gov/api/v1/filings/20132e4f-5cb1-4563-8c5d-ed95a8cef4c0/,20132e4f-5cb1-4563-8c5d-ed95a8cef4c0,2AY,2nd Quarter - Amendment (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/20132e4f-5cb1-4563-8c5d-ed95a8cef4c0/print/,text/html,20000.0,,,,Henry W. Menn III,2018-07-12T17:18:20.303000-04:00,,United States of America,,"601 13th Street, NW",6th Floor,False,Washington,DC,20005,"{'id': 287895, 'url': 'https://lda.senate.gov/api/v1/registrants/287895/', 'house_registrant_id': 37058, 'name': 'BROWN RUDNICK LLP', 'description': 'Law Firm', 'address_1': '601 13th Street, NW', 'address_2': '6th Floor', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20005', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'ANDREW P. STREHLE', 'contact_telephone': '', 'dt_updated': '2022-04-06T16:06:44.387651-04:00'}","{'id': 177035, 'url': 'https://lda.senate.gov/api/v1/clients/177035/', 'client_id': 1005270, 'name': 'AMNEAL PHARMACEUTICALS', 'general_description': 'Generic Pharmaceutical Manufacturer', 'client_government_entity': False, 'client_self_select': False, 'state': 'NJ', 'state_display': 'New Jersey', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'NJ', 'ppb_state_display': 'New Jersey', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2013-11-08'}",[],[],[],[],[],0,1,177035,https://lda.senate.gov/api/v1/clients/177035/,1005270,AMNEAL PHARMACEUTICALS,Generic Pharmaceutical Manufacturer,False,False,NJ,New Jersey,US,United States of America,NJ,New Jersey,US,United States of America,2013-11-08,287895,https://lda.senate.gov/api/v1/registrants/287895/,37058,BROWN RUDNICK LLP,Law Firm,"601 13th Street, NW",6th Floor,,,Washington,DC,District of Columbia,20005,US,United States of America,US,United States of America,ANDREW P. STREHLE,,2022-04-06T16:06:44.387651-04:00
https://lda.senate.gov/api/v1/filings/aee043f7-472c-453a-9da8-4bab5986eb5b/,aee043f7-472c-453a-9da8-4bab5986eb5b,2AY,2nd Quarter - Amendment (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/aee043f7-472c-453a-9da8-4bab5986eb5b/print/,text/html,,,,,William McCann,2018-07-13T15:16:45.360000-04:00,,United States of America,,"1020 19th Street, NW",Suite 375,False,Washington,DC,20036,"{'id': 60550, 'url': 'https://lda.senate.gov/api/v1/registrants/60550/', 'house_registrant_id': 35365, 'name': 'STRATEGIC MARKETING INNOVATIONS', 'description': 'Federal relations firm', 'address_1': '200 Massachusetts Avenue', 'address_2': 'Suite 510', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'KENNETH WETZEL, JR.', 'contact_telephone': '+1 202-467-5459', 'dt_updated': '2024-01-26T10:21:03.693944-05:00'}","{'id': 161293, 'url': 'https://lda.senate.gov/api/v1/clients/161293/', 'client_id': 1005320, 'name': 'ARKEMA R&D', 'general_description': 'Chemical manufacturing', 'client_government_entity': False, 'client_self_select': None, 'state': 'PA', 'state_display': 'Pennsylvania', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'PA', 'ppb_state_display': 'Pennsylvania', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2016-10-24'}",[],[],[],[],[],0,1,161293,https://lda.senate.gov/api/v1/clients/161293/,1005320,ARKEMA R&D,Chemical manufacturing,False,,PA,Pennsylvania,US,United States of America,PA,Pennsylvania,US,United States of America,2016-10-24,60550,https://lda.senate.gov/api/v1/registrants/60550/,35365,STRATEGIC MARKETING INNOVATIONS,Federal relations firm,200 Massachusetts Avenue,Suite 510,,,Washington,DC,District of Columbia,20001,US,United States of America,US,United States of America,"KENNETH WETZEL, JR.",+1 202-467-5459,2024-01-26T10:21:03.693944-05:00
https://lda.senate.gov/api/v1/filings/a16319e4-8732-4a46-8d57-f6b7d64fbfc9/,a16319e4-8732-4a46-8d57-f6b7d64fbfc9,2AY,2nd Quarter - Amendment (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/a16319e4-8732-4a46-8d57-f6b7d64fbfc9/print/,text/html,,,,,Bobbie J. Schwier,2018-07-18T16:40:39.330000-04:00,,United States of America,,"901 K STREET, NW",SUITE 900,False,WASHINGTON,DC,20001,"{'id': 5153, 'url': 'https://lda.senate.gov/api/v1/registrants/5153/', 'house_registrant_id': 30873, 'name': 'BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP', 'description': 'Law firm', 'address_1': '901 K Street NW', 'address_2': 'Suite 900', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'DUANE HANECKOW', 'contact_telephone': '+1 202-508-3400', 'dt_updated': '2024-01-22T19:21:54.064904-05:00'}","{'id': 105700, 'url': 'https://lda.senate.gov/api/v1/clients/105700/', 'client_id': 1005662, 'name': ""DEAN'S NURSING POLICY COALITION (INFORMAL COALITION)"", 'general_description': 'Nursing Education', 'client_government_entity': False, 'client_self_select': False, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2012-01-10'}",[],[],[],[],[],0,1,105700,https://lda.senate.gov/api/v1/clients/105700/,1005662,DEAN'S NURSING POLICY COALITION (INFORMAL COALITION),Nursing Education,False,False,DC,District of Columbia,US,United States of America,,,US,United States of America,2012-01-10,5153,https://lda.senate.gov/api/v1/registrants/5153/,30873,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Law firm,901 K Street NW,Suite 900,,,Washington,DC,District of Columbia,20001,US,United States of America,US,United States of America,DUANE HANECKOW,+1 202-508-3400,2024-01-22T19:21:54.064904-05:00
https://lda.senate.gov/api/v1/filings/30a75352-f0bf-48ca-b840-cacbec022472/,30a75352-f0bf-48ca-b840-cacbec022472,2AY,2nd Quarter - Amendment (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/30a75352-f0bf-48ca-b840-cacbec022472/print/,text/html,10000.0,,,,Michael Bennett,2018-07-19T11:02:55.597000-04:00,,United States of America,,1434 Colburn Drive,,False,Zanesville,OH,43701,"{'id': 401104907, 'url': 'https://lda.senate.gov/api/v1/registrants/401104907/', 'house_registrant_id': 401104907, 'name': 'SECOND CAPITAL CONSULTING, LLC', 'description': 'consulting firm', 'address_1': '1434 Colburn Drive', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Zanesville', 'state': 'OH', 'state_display': 'Ohio', 'zip': '43701', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MICHAEL BENNETT', 'contact_telephone': '+1 740-624-9572', 'dt_updated': '2022-04-06T16:08:35.740739-04:00'}","{'id': 202924, 'url': 'https://lda.senate.gov/api/v1/clients/202924/', 'client_id': 24, 'name': 'MUSKINGUM VALLEY HEALTH CENTERS', 'general_description': 'Federally Qualified Health Center', 'client_government_entity': False, 'client_self_select': None, 'state': 'OH', 'state_display': 'Ohio', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'OH', 'ppb_state_display': 'Ohio', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2015-05-28'}",[],[],[],[],[],0,1,202924,https://lda.senate.gov/api/v1/clients/202924/,24,MUSKINGUM VALLEY HEALTH CENTERS,Federally Qualified Health Center,False,,OH,Ohio,US,United States of America,OH,Ohio,US,United States of America,2015-05-28,401104907,https://lda.senate.gov/api/v1/registrants/401104907/,401104907,"SECOND CAPITAL CONSULTING, LLC",consulting firm,1434 Colburn Drive,,,,Zanesville,OH,Ohio,43701,US,United States of America,US,United States of America,MICHAEL BENNETT,+1 740-624-9572,2022-04-06T16:08:35.740739-04:00
https://lda.senate.gov/api/v1/filings/661bd956-bc89-463c-8709-10b0ac649517/,661bd956-bc89-463c-8709-10b0ac649517,2AY,2nd Quarter - Amendment (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/661bd956-bc89-463c-8709-10b0ac649517/print/,text/html,45000.0,,,,Chris Fish,2018-07-19T13:24:48.837000-04:00,,United States of America,,"1030 15th Street, NW",Suite 590 West,False,Washington,DC,20005,"{'id': 292573, 'url': 'https://lda.senate.gov/api/v1/registrants/292573/', 'house_registrant_id': 37315, 'name': 'MCALLISTER & QUINN, LLC', 'description': '&#226;€‹Federal and Foundation Grants and Government Relations consulting firm.', 'address_1': '1625 Eye Street, NW', 'address_2': 'Suite 750', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20006', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BRANDI MELSCHAU', 'contact_telephone': '+1 202-296-2741', 'dt_updated': '2024-01-23T14:22:09.651063-05:00'}","{'id': 178262, 'url': 'https://lda.senate.gov/api/v1/clients/178262/', 'client_id': 1006676, 'name': 'IPC-ASSOCIATION CONNECTING ELECTRONICS INDUSTRIES', 'general_description': 'Global Trade Association serving the printed board & electronics assembly industries', 'client_government_entity': False, 'client_self_select': None, 'state': 'IL', 'state_display': 'Illinois', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'IL', 'ppb_state_display': 'Illinois', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-10-16'}",[],[],[],[],[],0,1,178262,https://lda.senate.gov/api/v1/clients/178262/,1006676,IPC-ASSOCIATION CONNECTING ELECTRONICS INDUSTRIES,Global Trade Association serving the printed board & electronics assembly industries,False,,IL,Illinois,US,United States of America,IL,Illinois,US,United States of America,2017-10-16,292573,https://lda.senate.gov/api/v1/registrants/292573/,37315,"MCALLISTER & QUINN, LLC",&#226;€‹Federal and Foundation Grants and Government Relations consulting firm.,"1625 Eye Street, NW",Suite 750,,,Washington,DC,District of Columbia,20006,US,United States of America,US,United States of America,BRANDI MELSCHAU,+1 202-296-2741,2024-01-23T14:22:09.651063-05:00
https://lda.senate.gov/api/v1/filings/ba8a6e18-46a1-4168-b5b5-dcd8b31185ed/,ba8a6e18-46a1-4168-b5b5-dcd8b31185ed,2AY,2nd Quarter - Amendment (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/ba8a6e18-46a1-4168-b5b5-dcd8b31185ed/print/,text/html,,,a,Method A - Reporting amounts using LDA definitions only,Alvin Gutierrez,2018-07-19T13:29:17.213000-04:00,,United States of America,,1016 W. Jackson Blvd.,Suite 506,True,Chicago,IL,60607,"{'id': 400459271, 'url': 'https://lda.senate.gov/api/v1/registrants/400459271/', 'house_registrant_id': 400459271, 'name': 'GUTIERREZ PRODUCTIONS, INC.', 'description': 'P.R, Media placement, Advertising, Marketing, Public health enviormental safety', 'address_1': '1016 W. Jackson Blvd.', 'address_2': 'Suite 506', 'address_3': None, 'address_4': None, 'city': 'Chicago', 'state': 'IL', 'state_display': 'Illinois', 'zip': '60607', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'ALVIN GUTIERREZ', 'contact_telephone': '+1 312-266-5911', 'dt_updated': '2023-08-24T01:25:18.980878-04:00'}","{'id': 191421, 'url': 'https://lda.senate.gov/api/v1/clients/191421/', 'client_id': 12, 'name': 'GUTIERREZ PRODUCTIONS, INC.', 'general_description': None, 'client_government_entity': False, 'client_self_select': True, 'state': 'IL', 'state_display': 'Illinois', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'IL', 'ppb_state_display': 'Illinois', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2011-01-06'}",[],[],[],[],[],0,1,191421,https://lda.senate.gov/api/v1/clients/191421/,12,"GUTIERREZ PRODUCTIONS, INC.",,False,True,IL,Illinois,US,United States of America,IL,Illinois,US,United States of America,2011-01-06,400459271,https://lda.senate.gov/api/v1/registrants/400459271/,400459271,"GUTIERREZ PRODUCTIONS, INC.","P.R, Media placement, Advertising, Marketing, Public health enviormental safety",1016 W. Jackson Blvd.,Suite 506,,,Chicago,IL,Illinois,60607,US,United States of America,US,United States of America,ALVIN GUTIERREZ,+1 312-266-5911,2023-08-24T01:25:18.980878-04:00
https://lda.senate.gov/api/v1/filings/439eb6e4-edb7-4074-8e46-292dd5440b3f/,439eb6e4-edb7-4074-8e46-292dd5440b3f,2AY,2nd Quarter - Amendment (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/439eb6e4-edb7-4074-8e46-292dd5440b3f/print/,text/html,,,,,Jennifer M. Summa,2018-07-19T18:41:13.127000-04:00,,United States of America,,"901 K STREET, NW",SUITE 900,False,WASHINGTON,DC,20001,"{'id': 5153, 'url': 'https://lda.senate.gov/api/v1/registrants/5153/', 'house_registrant_id': 30873, 'name': 'BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP', 'description': 'Law firm', 'address_1': '901 K Street NW', 'address_2': 'Suite 900', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'DUANE HANECKOW', 'contact_telephone': '+1 202-508-3400', 'dt_updated': '2024-01-22T19:21:54.064904-05:00'}","{'id': 105754, 'url': 'https://lda.senate.gov/api/v1/clients/105754/', 'client_id': 1006206, 'name': 'RESMED CORP.', 'general_description': 'Health Care', 'client_government_entity': False, 'client_self_select': None, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CA', 'ppb_state_display': 'California', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-05-01'}",[],[],[],[],[],0,1,105754,https://lda.senate.gov/api/v1/clients/105754/,1006206,RESMED CORP.,Health Care,False,,CA,California,US,United States of America,CA,California,US,United States of America,2017-05-01,5153,https://lda.senate.gov/api/v1/registrants/5153/,30873,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Law firm,901 K Street NW,Suite 900,,,Washington,DC,District of Columbia,20001,US,United States of America,US,United States of America,DUANE HANECKOW,+1 202-508-3400,2024-01-22T19:21:54.064904-05:00
https://lda.senate.gov/api/v1/filings/5e179cd5-d97f-4037-8e02-3fccc748b69b/,5e179cd5-d97f-4037-8e02-3fccc748b69b,2AY,2nd Quarter - Amendment (No Activity),2018,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/5e179cd5-d97f-4037-8e02-3fccc748b69b/print/,text/html,,59000.0,a,Method A - Reporting amounts using LDA definitions only,J. Michael Baxley,2018-07-20T09:29:19.450000-04:00,,United States of America,United States of America,1 Riverwood Drive,P.O. Box 2946101,False,Moncks Corner,SC,29461,"{'id': 40048379, 'url': 'https://lda.senate.gov/api/v1/registrants/40048379/', 'house_registrant_id': 40019, 'name': 'SOUTH CAROLINA PUBLIC SERVICE AUTHORITY', 'description': 'Electric and water utility', 'address_1': '1 Riverwood Drive', 'address_2': 'P.O. Box 2946101', 'address_3': None, 'address_4': None, 'city': 'Moncks Corner', 'state': 'SC', 'state_display': 'South Carolina', 'zip': '29461', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MIKE BAXLEY', 'contact_telephone': '+1 843-761-7081', 'dt_updated': '2022-04-06T16:06:21.505861-04:00'}","{'id': 188547, 'url': 'https://lda.senate.gov/api/v1/clients/188547/', 'client_id': 12, 'name': 'SOUTH CAROLINA PUBLIC SERVICE AUTHORITY', 'general_description': None, 'client_government_entity': True, 'client_self_select': True, 'state': 'SC', 'state_display': 'South Carolina', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'SC', 'ppb_state_display': 'South Carolina', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2008-03-04'}",[],[],[],[],[],0,1,188547,https://lda.senate.gov/api/v1/clients/188547/,12,SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,,True,True,SC,South Carolina,US,United States of America,SC,South Carolina,US,United States of America,2008-03-04,40048379,https://lda.senate.gov/api/v1/registrants/40048379/,40019,SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,Electric and water utility,1 Riverwood Drive,P.O. Box 2946101,,,Moncks Corner,SC,South Carolina,29461,US,United States of America,US,United States of America,MIKE BAXLEY,+1 843-761-7081,2022-04-06T16:06:21.505861-04:00
