url,filing_uuid,filing_type,filing_type_display,filing_year,filing_period,filing_period_display,filing_document_url,filing_document_content_type,income,expenses,expenses_method,expenses_method_display,posted_by_name,dt_posted,termination_date,registrant_country,registrant_ppb_country,registrant_address_1,registrant_address_2,registrant_different_address,registrant_city,registrant_state,registrant_zip,registrant,client,lobbying_activities,conviction_disclosures,foreign_entities,affiliated_organizations,issue_codes,i_NUMBER,i_EMPTY,c_id,c_url,c_client_id,c_name,c_general_description,c_client_government_entity,c_client_self_select,c_state,c_state_display,c_country,c_country_display,c_ppb_state,c_ppb_state_display,c_ppb_country,c_ppb_country_display,c_effective_date,r_id,r_url,r_house_registrant_id,r_name,r_description,r_address_1,r_address_2,r_address_3,r_address_4,r_city,r_state,r_state_display,r_zip,r_country,r_country_display,r_ppb_country,r_ppb_country_display,r_contact_name,r_contact_telephone,r_dt_updated
https://lda.senate.gov/api/v1/filings/11b407d2-61cf-4439-a1f1-3416d337e414/,11b407d2-61cf-4439-a1f1-3416d337e414,3TY,3rd Quarter - Termination (No Activity),2022,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/11b407d2-61cf-4439-a1f1-3416d337e414/print/,text/html,,,A,A,James M. Williams Jr.,2022-07-06T10:45:16-04:00,2022-07-06,United States of America,United States of America,5469 Stream Bank Lane,,False,Greenbelt,MD,20770,"{'id': 48805, 'url': 'https://lda.senate.gov/api/v1/registrants/48805/', 'house_registrant_id': 34577, 'name': 'WAYNE STATE UNIVERSITY, DETROIT, MICHIGAN', 'description': 'University dedicated to providing access to higher education.', 'address_1': '499 South Capitol Street, S.W.', 'address_2': 'Suite 508', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20003', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JAMES WILLIAMS JR.', 'contact_telephone': '+1 240-602-3313', 'dt_updated': '2022-12-08T15:04:44.160834-05:00'}","{'id': 155624, 'url': 'https://lda.senate.gov/api/v1/clients/155624/', 'client_id': 12, 'name': 'WAYNE STATE UNIVERSITY, DETROIT, MICHIGAN', 'general_description': None, 'client_government_entity': True, 'client_self_select': True, 'state': 'MD', 'state_display': 'Maryland', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'MD', 'ppb_state_display': 'Maryland', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2011-07-19'}",[],[],[],[],[],0,1,155624,https://lda.senate.gov/api/v1/clients/155624/,12,"WAYNE STATE UNIVERSITY, DETROIT, MICHIGAN",,True,True,MD,Maryland,US,United States of America,MD,Maryland,US,United States of America,2011-07-19,48805,https://lda.senate.gov/api/v1/registrants/48805/,34577.0,"WAYNE STATE UNIVERSITY, DETROIT, MICHIGAN",University dedicated to providing access to higher education.,"499 South Capitol Street, S.W.",Suite 508,,,Washington,DC,District of Columbia,20003,US,United States of America,US,United States of America,JAMES WILLIAMS JR.,+1 240-602-3313,2022-12-08T15:04:44.160834-05:00
https://lda.senate.gov/api/v1/filings/d07daf6c-fef4-4e99-b67b-d00737540b92/,d07daf6c-fef4-4e99-b67b-d00737540b92,3TY,3rd Quarter - Termination (No Activity),2022,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/d07daf6c-fef4-4e99-b67b-d00737540b92/print/,text/html,,,A,A,James M. Williams Jr.,2022-07-06T10:45:24-04:00,2022-07-06,United States of America,United States of America,5469 Stream Bank Lane,,False,Greenbelt,MD,20770,"{'id': 48805, 'url': 'https://lda.senate.gov/api/v1/registrants/48805/', 'house_registrant_id': 34577, 'name': 'WAYNE STATE UNIVERSITY, DETROIT, MICHIGAN', 'description': 'University dedicated to providing access to higher education.', 'address_1': '499 South Capitol Street, S.W.', 'address_2': 'Suite 508', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20003', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JAMES WILLIAMS JR.', 'contact_telephone': '+1 240-602-3313', 'dt_updated': '2022-12-08T15:04:44.160834-05:00'}","{'id': 155624, 'url': 'https://lda.senate.gov/api/v1/clients/155624/', 'client_id': 12, 'name': 'WAYNE STATE UNIVERSITY, DETROIT, MICHIGAN', 'general_description': None, 'client_government_entity': True, 'client_self_select': True, 'state': 'MD', 'state_display': 'Maryland', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'MD', 'ppb_state_display': 'Maryland', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2011-07-19'}",[],[],[],[],[],0,1,155624,https://lda.senate.gov/api/v1/clients/155624/,12,"WAYNE STATE UNIVERSITY, DETROIT, MICHIGAN",,True,True,MD,Maryland,US,United States of America,MD,Maryland,US,United States of America,2011-07-19,48805,https://lda.senate.gov/api/v1/registrants/48805/,34577.0,"WAYNE STATE UNIVERSITY, DETROIT, MICHIGAN",University dedicated to providing access to higher education.,"499 South Capitol Street, S.W.",Suite 508,,,Washington,DC,District of Columbia,20003,US,United States of America,US,United States of America,JAMES WILLIAMS JR.,+1 240-602-3313,2022-12-08T15:04:44.160834-05:00
https://lda.senate.gov/api/v1/filings/570150f3-a5e6-4ce2-af4b-da7172145718/,570150f3-a5e6-4ce2-af4b-da7172145718,3TY,3rd Quarter - Termination (No Activity),2022,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/570150f3-a5e6-4ce2-af4b-da7172145718/print/,text/html,,,A,A,Kevin Hickey,2022-07-08T12:20:07-04:00,2022-07-01,United States of America,,621 Lynnhaven Parkway,Suite 160,False,Virginia Beach,VA,23452,"{'id': 401103361, 'url': 'https://lda.senate.gov/api/v1/registrants/401103361/', 'house_registrant_id': 401103361, 'name': 'ATLANTIC DIVING SUPPLY, INC.', 'description': 'Supply Chain Management & Distribution of Individual & Group Equipment', 'address_1': '621 Lynnhaven Parkway', 'address_2': 'Suite 400', 'address_3': None, 'address_4': None, 'city': 'Virginia Beach', 'state': 'VA', 'state_display': 'Virginia', 'zip': '23452', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'KEVIN HICKEY', 'contact_telephone': '+1 757-227-9554', 'dt_updated': '2023-06-06T16:25:14.924049-04:00'}","{'id': 198700, 'url': 'https://lda.senate.gov/api/v1/clients/198700/', 'client_id': 12, 'name': 'ATLANTIC DIVING SUPPLY, INC.', 'general_description': None, 'client_government_entity': False, 'client_self_select': True, 'state': 'VA', 'state_display': 'Virginia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'VA', 'ppb_state_display': 'Virginia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2014-07-23'}",[],[],[],[],[],0,1,198700,https://lda.senate.gov/api/v1/clients/198700/,12,"ATLANTIC DIVING SUPPLY, INC.",,False,True,VA,Virginia,US,United States of America,VA,Virginia,US,United States of America,2014-07-23,401103361,https://lda.senate.gov/api/v1/registrants/401103361/,401103361.0,"ATLANTIC DIVING SUPPLY, INC.",Supply Chain Management & Distribution of Individual & Group Equipment,621 Lynnhaven Parkway,Suite 400,,,Virginia Beach,VA,Virginia,23452,US,United States of America,US,United States of America,KEVIN HICKEY,+1 757-227-9554,2023-06-06T16:25:14.924049-04:00
https://lda.senate.gov/api/v1/filings/a2d37bc3-c65b-43d0-9681-fdac1578d16a/,a2d37bc3-c65b-43d0-9681-fdac1578d16a,3TY,3rd Quarter - Termination (No Activity),2022,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/a2d37bc3-c65b-43d0-9681-fdac1578d16a/print/,text/html,,,,,A Mario Castillo,2022-07-18T05:22:46-04:00,2022-07-18,United States of America,,2700 Calvert Street NW,,False,Washington,DC,20008,"{'id': 283, 'url': 'https://lda.senate.gov/api/v1/registrants/283/', 'house_registrant_id': 33113, 'name': 'THE AEGIS GROUP, LTD.', 'description': 'government relations', 'address_1': '2700 Calvert Street NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20008', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'A. MARIO CASTILLO', 'contact_telephone': '+1 202-744-8199', 'dt_updated': '2022-12-08T13:48:09.023834-05:00'}","{'id': 212993, 'url': 'https://lda.senate.gov/api/v1/clients/212993/', 'client_id': 226, 'name': 'CITY OF MIDLAND, TEXAS', 'general_description': 'municipality', 'client_government_entity': False, 'client_self_select': None, 'state': 'TX', 'state_display': 'Texas', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'TX', 'ppb_state_display': 'Texas', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2021-12-08'}",[],[],[],[],[],0,1,212993,https://lda.senate.gov/api/v1/clients/212993/,226,"CITY OF MIDLAND, TEXAS",municipality,False,,TX,Texas,US,United States of America,TX,Texas,US,United States of America,2021-12-08,283,https://lda.senate.gov/api/v1/registrants/283/,33113.0,"THE AEGIS GROUP, LTD.",government relations,2700 Calvert Street NW,,,,Washington,DC,District of Columbia,20008,US,United States of America,US,United States of America,A. MARIO CASTILLO,+1 202-744-8199,2022-12-08T13:48:09.023834-05:00
https://lda.senate.gov/api/v1/filings/637800fb-762d-4da3-bfe7-2824561ac12b/,637800fb-762d-4da3-bfe7-2824561ac12b,3TY,3rd Quarter - Termination (No Activity),2022,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/637800fb-762d-4da3-bfe7-2824561ac12b/print/,text/html,,,,,Neil Fried,2022-07-20T11:26:08-04:00,2022-07-01,United States of America,,815 Massachusetts Ave. NE,,False,Washington,DC,20002,"{'id': 401106311, 'url': 'https://lda.senate.gov/api/v1/registrants/401106311/', 'house_registrant_id': 401106311, 'name': 'DIGITALFRONTIERS ADVOCACY', 'description': 'Consulting firm', 'address_1': '815 Massachusetts Ave. NE', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20002', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'NEIL FRIED', 'contact_telephone': '+1 703-785-3822', 'dt_updated': '2022-10-25T09:27:23.654183-04:00'}","{'id': 212715, 'url': 'https://lda.senate.gov/api/v1/clients/212715/', 'client_id': 12, 'name': 'PEXESO, INC.', 'general_description': 'Provider of digital rights technology for protecting copyrighted content.', 'client_government_entity': False, 'client_self_select': None, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CA', 'ppb_state_display': 'California', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2021-10-15'}",[],[],[],[],[],0,1,212715,https://lda.senate.gov/api/v1/clients/212715/,12,"PEXESO, INC.",Provider of digital rights technology for protecting copyrighted content.,False,,CA,California,US,United States of America,CA,California,US,United States of America,2021-10-15,401106311,https://lda.senate.gov/api/v1/registrants/401106311/,401106311.0,DIGITALFRONTIERS ADVOCACY,Consulting firm,815 Massachusetts Ave. NE,,,,Washington,DC,District of Columbia,20002,US,United States of America,US,United States of America,NEIL FRIED,+1 703-785-3822,2022-10-25T09:27:23.654183-04:00
https://lda.senate.gov/api/v1/filings/920434e3-d156-43cb-9c97-f89a62a2ee29/,920434e3-d156-43cb-9c97-f89a62a2ee29,3TY,3rd Quarter - Termination (No Activity),2022,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/920434e3-d156-43cb-9c97-f89a62a2ee29/print/,text/html,,,,,Neil Fried,2022-07-20T11:33:58-04:00,2022-07-01,United States of America,,815 Massachusetts Ave. NE,,False,Washington,DC,20002,"{'id': 401106311, 'url': 'https://lda.senate.gov/api/v1/registrants/401106311/', 'house_registrant_id': 401106311, 'name': 'DIGITALFRONTIERS ADVOCACY', 'description': 'Consulting firm', 'address_1': '815 Massachusetts Ave. NE', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20002', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'NEIL FRIED', 'contact_telephone': '+1 703-785-3822', 'dt_updated': '2022-10-25T09:27:23.654183-04:00'}","{'id': 212744, 'url': 'https://lda.senate.gov/api/v1/clients/212744/', 'client_id': 24, 'name': 'IGGY VENTURES LLC', 'general_description': 'Child safety advocate', 'client_government_entity': False, 'client_self_select': None, 'state': 'MD', 'state_display': 'Maryland', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'MD', 'ppb_state_display': 'Maryland', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2021-09-03'}",[],[],[],[],[],0,1,212744,https://lda.senate.gov/api/v1/clients/212744/,24,IGGY VENTURES LLC,Child safety advocate,False,,MD,Maryland,US,United States of America,MD,Maryland,US,United States of America,2021-09-03,401106311,https://lda.senate.gov/api/v1/registrants/401106311/,401106311.0,DIGITALFRONTIERS ADVOCACY,Consulting firm,815 Massachusetts Ave. NE,,,,Washington,DC,District of Columbia,20002,US,United States of America,US,United States of America,NEIL FRIED,+1 703-785-3822,2022-10-25T09:27:23.654183-04:00
https://lda.senate.gov/api/v1/filings/4e80031b-99aa-4030-a3dd-3ea71947cb5a/,4e80031b-99aa-4030-a3dd-3ea71947cb5a,3TY,3rd Quarter - Termination (No Activity),2022,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/4e80031b-99aa-4030-a3dd-3ea71947cb5a/print/,text/html,,,,,Kenneth E Swab,2022-07-21T17:12:03-04:00,2022-07-01,United States of America,,301 South Bronough Street,Suite 600,False,Tallahassee,FL,32301,"{'id': 401053970, 'url': 'https://lda.senate.gov/api/v1/registrants/401053970/', 'house_registrant_id': 401053970, 'name': 'GRAYROBINSON PA', 'description': 'Law firm.', 'address_1': '301 South Bronough Street', 'address_2': 'Suite 600', 'address_3': None, 'address_4': None, 'city': 'Tallahassee', 'state': 'FL', 'state_display': 'Florida', 'zip': '32301', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'KENNETH SWAB', 'contact_telephone': '+1 202-546-1761', 'dt_updated': '2024-01-24T11:21:26.921344-05:00'}","{'id': 205188, 'url': 'https://lda.senate.gov/api/v1/clients/205188/', 'client_id': 520, 'name': 'NATIONAL ASSOCIATION OF FEDERALLY-INSURED CREDIT UNIONS', 'general_description': 'Provide credit unions with federal advocacy, education and compliance assistance.', 'client_government_entity': False, 'client_self_select': None, 'state': 'VA', 'state_display': 'Virginia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'VA', 'ppb_state_display': 'Virginia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2020-03-22'}",[],[],[],[],[],0,1,205188,https://lda.senate.gov/api/v1/clients/205188/,520,NATIONAL ASSOCIATION OF FEDERALLY-INSURED CREDIT UNIONS,"Provide credit unions with federal advocacy, education and compliance assistance.",False,,VA,Virginia,US,United States of America,VA,Virginia,US,United States of America,2020-03-22,401053970,https://lda.senate.gov/api/v1/registrants/401053970/,401053970.0,GRAYROBINSON PA,Law firm.,301 South Bronough Street,Suite 600,,,Tallahassee,FL,Florida,32301,US,United States of America,US,United States of America,KENNETH SWAB,+1 202-546-1761,2024-01-24T11:21:26.921344-05:00
https://lda.senate.gov/api/v1/filings/f7f9d91b-103e-4ad4-b2ff-baa3f5c51ef2/,f7f9d91b-103e-4ad4-b2ff-baa3f5c51ef2,3TY,3rd Quarter - Termination (No Activity),2022,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/f7f9d91b-103e-4ad4-b2ff-baa3f5c51ef2/print/,text/html,,,,,Amy A. Lombardo,2022-07-25T16:22:57-04:00,2022-08-01,United States of America,,201 South Main Street,Suite 1800,False,Salt Lake City,UT,84111,"{'id': 49418, 'url': 'https://lda.senate.gov/api/v1/registrants/49418/', 'house_registrant_id': 34624, 'name': 'PARSONS BEHLE & LATIMER', 'description': 'Law Firm.', 'address_1': '201 South Main Street', 'address_2': 'Suite 1800', 'address_3': None, 'address_4': None, 'city': 'Salt Lake City', 'state': 'UT', 'state_display': 'Utah', 'zip': '84111', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'CORY SINCLAIR', 'contact_telephone': '+1 801-536-6727', 'dt_updated': '2023-08-30T15:25:19.673487-04:00'}","{'id': 156216, 'url': 'https://lda.senate.gov/api/v1/clients/156216/', 'client_id': 51, 'name': 'BURNS INDUSTRIES, LLC', 'general_description': 'Industrial Materials Company.', 'client_government_entity': False, 'client_self_select': None, 'state': 'ID', 'state_display': 'Idaho', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'ID', 'ppb_state_display': 'Idaho', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2019-01-07'}",[],[],[],[],[],0,1,156216,https://lda.senate.gov/api/v1/clients/156216/,51,"BURNS INDUSTRIES, LLC",Industrial Materials Company.,False,,ID,Idaho,US,United States of America,ID,Idaho,US,United States of America,2019-01-07,49418,https://lda.senate.gov/api/v1/registrants/49418/,34624.0,PARSONS BEHLE & LATIMER,Law Firm.,201 South Main Street,Suite 1800,,,Salt Lake City,UT,Utah,84111,US,United States of America,US,United States of America,CORY SINCLAIR,+1 801-536-6727,2023-08-30T15:25:19.673487-04:00
https://lda.senate.gov/api/v1/filings/d48b7872-e49a-4ffe-8a15-5291b80ccb9a/,d48b7872-e49a-4ffe-8a15-5291b80ccb9a,3TY,3rd Quarter - Termination (No Activity),2022,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/d48b7872-e49a-4ffe-8a15-5291b80ccb9a/print/,text/html,,,,,Bonnie Shindelman,2022-08-04T11:58:45-04:00,2022-07-31,United States of America,,"1100 New York Avenue, NW",Suite 630,False,Washington,DC,20005,"{'id': 2194, 'url': 'https://lda.senate.gov/api/v1/registrants/2194/', 'house_registrant_id': 32825, 'name': 'AMERICAN DEFENSE INTERNATIONAL, INC.', 'description': 'Lobbying and consulting firm.', 'address_1': '1101 K Street', 'address_2': 'Suite 850', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20005', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BONNIE SHINDELMAN', 'contact_telephone': '+1 202-589-0020', 'dt_updated': '2024-02-06T13:31:57.926878-05:00'}","{'id': 103530, 'url': 'https://lda.senate.gov/api/v1/clients/103530/', 'client_id': 1006171, 'name': 'SENSONOR', 'general_description': 'Defense Contractor', 'client_government_entity': False, 'client_self_select': None, 'state': None, 'state_display': None, 'country': 'NO', 'country_display': 'Norway', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'NO', 'ppb_country_display': 'Norway', 'effective_date': '2019-08-01'}",[],[],[],[],[],0,1,103530,https://lda.senate.gov/api/v1/clients/103530/,1006171,SENSONOR,Defense Contractor,False,,,,NO,Norway,,,NO,Norway,2019-08-01,2194,https://lda.senate.gov/api/v1/registrants/2194/,32825.0,"AMERICAN DEFENSE INTERNATIONAL, INC.",Lobbying and consulting firm.,1101 K Street,Suite 850,,,Washington,DC,District of Columbia,20005,US,United States of America,US,United States of America,BONNIE SHINDELMAN,+1 202-589-0020,2024-02-06T13:31:57.926878-05:00
https://lda.senate.gov/api/v1/filings/0aa46c93-5c64-414c-ab84-0331f8840dec/,0aa46c93-5c64-414c-ab84-0331f8840dec,3TY,3rd Quarter - Termination (No Activity),2022,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/0aa46c93-5c64-414c-ab84-0331f8840dec/print/,text/html,,,,,Travis Lucas,2022-08-04T13:23:31-04:00,2022-08-04,United States of America,,"1101 Pennsylvania Avenue, NW",Suite 300,False,Washington,DC,20004,"{'id': 401105899, 'url': 'https://lda.senate.gov/api/v1/registrants/401105899/', 'house_registrant_id': 401105899, 'name': 'LUCAS | COMPTON', 'description': 'Public Policy Practice', 'address_1': '1101 Pennsylvania Avenue, NW', 'address_2': 'Suite 300', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20004', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'TRAVIS LUCAS', 'contact_telephone': '+1 202-756-1226', 'dt_updated': '2024-01-29T13:53:04.508007-05:00'}","{'id': 45924, 'url': 'https://lda.senate.gov/api/v1/clients/45924/', 'client_id': 45924, 'name': 'FREEMAN HEALTH SYSTEM', 'general_description': 'Healthcare provider.', 'client_government_entity': None, 'client_self_select': False, 'state': 'MO', 'state_display': 'Missouri', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'MO', 'ppb_state_display': 'Missouri', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2022-03-15'}",[],[],[],[],[],0,1,45924,https://lda.senate.gov/api/v1/clients/45924/,45924,FREEMAN HEALTH SYSTEM,Healthcare provider.,,False,MO,Missouri,US,United States of America,MO,Missouri,US,United States of America,2022-03-15,401105899,https://lda.senate.gov/api/v1/registrants/401105899/,401105899.0,LUCAS | COMPTON,Public Policy Practice,"1101 Pennsylvania Avenue, NW",Suite 300,,,Washington,DC,District of Columbia,20004,US,United States of America,US,United States of America,TRAVIS LUCAS,+1 202-756-1226,2024-01-29T13:53:04.508007-05:00
