url,filing_uuid,filing_type,filing_type_display,filing_year,filing_period,filing_period_display,filing_document_url,filing_document_content_type,income,expenses,expenses_method,expenses_method_display,posted_by_name,dt_posted,termination_date,registrant_country,registrant_ppb_country,registrant_address_1,registrant_address_2,registrant_different_address,registrant_city,registrant_state,registrant_zip,registrant,client,lobbying_activities,conviction_disclosures,foreign_entities,affiliated_organizations,issue_codes,i_NUMBER,i_EMPTY,c_id,c_url,c_client_id,c_name,c_general_description,c_client_government_entity,c_client_self_select,c_state,c_state_display,c_country,c_country_display,c_ppb_state,c_ppb_state_display,c_ppb_country,c_ppb_country_display,c_effective_date,r_id,r_url,r_house_registrant_id,r_name,r_description,r_address_1,r_address_2,r_address_3,r_address_4,r_city,r_state,r_state_display,r_zip,r_country,r_country_display,r_ppb_country,r_ppb_country_display,r_contact_name,r_contact_telephone,r_dt_updated
https://lda.senate.gov/api/v1/filings/09fd080f-2df9-49fe-afae-6c38311025e1/,09fd080f-2df9-49fe-afae-6c38311025e1,3@Y,3rd Quarter - Termination Amendment (No Activity),2023,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/09fd080f-2df9-49fe-afae-6c38311025e1/print/,text/html,,,,,Ron Eritano,2023-08-16T13:57:11-04:00,2023-07-26,United States of America,,1899 L St. NW,Suite 520,False,Washington,DC,20036,"{'id': 306636, 'url': 'https://lda.senate.gov/api/v1/registrants/306636/', 'house_registrant_id': 38176, 'name': 'THE NORMANDY GROUP, LLC', 'description': 'Government affairs', 'address_1': '1899 L St. NW', 'address_2': 'Suite 520', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20036', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'KATHERINE SCHMITZ', 'contact_telephone': '+1 202-774-0251', 'dt_updated': '2024-01-17T13:51:34.383597-05:00'}","{'id': 182133, 'url': 'https://lda.senate.gov/api/v1/clients/182133/', 'client_id': 1005406, 'name': 'LEADING BUILDERS OF AMERICA', 'general_description': 'Advocate for policies that support affordable housing', 'client_government_entity': False, 'client_self_select': None, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'DC', 'ppb_state_display': 'District of Columbia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2019-01-01'}",[],[],[],[],[],0,1,182133,https://lda.senate.gov/api/v1/clients/182133/,1005406,LEADING BUILDERS OF AMERICA,Advocate for policies that support affordable housing,False,,DC,District of Columbia,US,United States of America,DC,District of Columbia,US,United States of America,2019-01-01,306636,https://lda.senate.gov/api/v1/registrants/306636/,38176.0,"THE NORMANDY GROUP, LLC",Government affairs,1899 L St. NW,Suite 520,,,Washington,DC,District of Columbia,20036,US,United States of America,US,United States of America,KATHERINE SCHMITZ,+1 202-774-0251,2024-01-17T13:51:34.383597-05:00
https://lda.senate.gov/api/v1/filings/88fb2c15-50bc-4578-b67b-498c0b30fbef/,88fb2c15-50bc-4578-b67b-498c0b30fbef,3@Y,3rd Quarter - Termination Amendment (No Activity),2023,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/88fb2c15-50bc-4578-b67b-498c0b30fbef/print/,text/html,,,,,William Ting,2023-08-22T20:29:18-04:00,2023-08-22,United States of America,,2020 Carey Avenue,Suite 600,False,Cheyenne,WY,82001,"{'id': 401107417, 'url': 'https://lda.senate.gov/api/v1/registrants/401107417/', 'house_registrant_id': None, 'name': 'W&E NETWORKS LLC', 'description': None, 'address_1': '2020 Carey Avenue', 'address_2': 'Suite 600', 'address_3': None, 'address_4': None, 'city': 'Cheyenne', 'state': 'WY', 'state_display': 'Wyoming', 'zip': '82001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'WILLIAM TING', 'contact_telephone': '+1 904-437-9038', 'dt_updated': '2024-02-20T20:55:11.384578-05:00'}","{'id': 55025, 'url': 'https://lda.senate.gov/api/v1/clients/55025/', 'client_id': 55025, 'name': 'NANTERO INC.', 'general_description': 'semiconductor materials/coating manufacturing and research & development company', 'client_government_entity': None, 'client_self_select': False, 'state': 'MA', 'state_display': 'Massachusetts', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'MA', 'ppb_state_display': 'Massachusetts', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2023-03-16'}",[],[],[],[],[],0,1,55025,https://lda.senate.gov/api/v1/clients/55025/,55025,NANTERO INC.,semiconductor materials/coating manufacturing and research & development company,,False,MA,Massachusetts,US,United States of America,MA,Massachusetts,US,United States of America,2023-03-16,401107417,https://lda.senate.gov/api/v1/registrants/401107417/,,W&E NETWORKS LLC,,2020 Carey Avenue,Suite 600,,,Cheyenne,WY,Wyoming,82001,US,United States of America,US,United States of America,WILLIAM TING,+1 904-437-9038,2024-02-20T20:55:11.384578-05:00
https://lda.senate.gov/api/v1/filings/0bed8b20-5edf-405b-afca-0f58132f8518/,0bed8b20-5edf-405b-afca-0f58132f8518,3@Y,3rd Quarter - Termination Amendment (No Activity),2023,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/0bed8b20-5edf-405b-afca-0f58132f8518/print/,text/html,,,,,Jamie Hill,2023-10-04T13:24:26-04:00,2023-07-01,United States of America,,101 E Kennedy Boulevard,Suite 2800,False,Tampa,FL,33602,"{'id': 401104468, 'url': 'https://lda.senate.gov/api/v1/registrants/401104468/', 'house_registrant_id': 401104468, 'name': 'SHUMAKER ADVISORS FLORIDA, LLC', 'description': 'Public Relations and Government Affairs', 'address_1': '101 E Kennedy Boulevard', 'address_2': 'Suite 2800', 'address_3': None, 'address_4': None, 'city': 'Tampa', 'state': 'FL', 'state_display': 'Florida', 'zip': '33602', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JAMIE HILL', 'contact_telephone': '+1 813-227-2220', 'dt_updated': '2024-01-16T14:40:16.270984-05:00'}","{'id': 205436, 'url': 'https://lda.senate.gov/api/v1/clients/205436/', 'client_id': 87, 'name': 'TAMPA MUSEUM OF ART FOUNDATION', 'general_description': 'Museum', 'client_government_entity': False, 'client_self_select': None, 'state': 'FL', 'state_display': 'Florida', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'FL', 'ppb_state_display': 'Florida', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2020-02-13'}",[],[],[],[],[],0,1,205436,https://lda.senate.gov/api/v1/clients/205436/,87,TAMPA MUSEUM OF ART FOUNDATION,Museum,False,,FL,Florida,US,United States of America,FL,Florida,US,United States of America,2020-02-13,401104468,https://lda.senate.gov/api/v1/registrants/401104468/,401104468.0,"SHUMAKER ADVISORS FLORIDA, LLC",Public Relations and Government Affairs,101 E Kennedy Boulevard,Suite 2800,,,Tampa,FL,Florida,33602,US,United States of America,US,United States of America,JAMIE HILL,+1 813-227-2220,2024-01-16T14:40:16.270984-05:00
https://lda.senate.gov/api/v1/filings/e23d1155-679d-4ad5-87a5-189a99b70c66/,e23d1155-679d-4ad5-87a5-189a99b70c66,3@Y,3rd Quarter - Termination Amendment (No Activity),2023,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/e23d1155-679d-4ad5-87a5-189a99b70c66/print/,text/html,,,,,"Glenn Willard, Of Counsel",2023-10-10T14:37:33-04:00,2023-06-30,United States of America,,"2550 M STREET, NW",,False,WASHINGTON,DC,20037,"{'id': 30906, 'url': 'https://lda.senate.gov/api/v1/registrants/30906/', 'house_registrant_id': 31917, 'name': 'SQUIRE PATTON BOGGS', 'description': 'Law Firm', 'address_1': '2550 M STREET, NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'WASHINGTON', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20037', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'GLENN WILLARD', 'contact_telephone': '+1 202-457-6000', 'dt_updated': '2024-01-22T14:59:52.054923-05:00'}","{'id': 137717, 'url': 'https://lda.senate.gov/api/v1/clients/137717/', 'client_id': 1009887, 'name': 'CITY OF SOUTH SAN FRANCISCO', 'general_description': 'Local Government', 'client_government_entity': True, 'client_self_select': None, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CA', 'ppb_state_display': 'California', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-07-01'}",[],[],[],[],[],0,1,137717,https://lda.senate.gov/api/v1/clients/137717/,1009887,CITY OF SOUTH SAN FRANCISCO,Local Government,True,,CA,California,US,United States of America,CA,California,US,United States of America,2017-07-01,30906,https://lda.senate.gov/api/v1/registrants/30906/,31917.0,SQUIRE PATTON BOGGS,Law Firm,"2550 M STREET, NW",,,,WASHINGTON,DC,District of Columbia,20037,US,United States of America,US,United States of America,GLENN WILLARD,+1 202-457-6000,2024-01-22T14:59:52.054923-05:00
https://lda.senate.gov/api/v1/filings/925c5c0b-4edf-45bc-a43e-412d293512ce/,925c5c0b-4edf-45bc-a43e-412d293512ce,3@Y,3rd Quarter - Termination Amendment (No Activity),2023,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/925c5c0b-4edf-45bc-a43e-412d293512ce/print/,text/html,,,,,Jared Rifis,2023-10-12T15:58:01-04:00,2023-09-01,United States of America,,3000 K Street NW,Suite 600,False,Washington,DC,20007,"{'id': 15042, 'url': 'https://lda.senate.gov/api/v1/registrants/15042/', 'house_registrant_id': 33563, 'name': 'FOLEY & LARDNER LLP', 'description': 'law firm', 'address_1': '3000 K Street NW', 'address_2': 'Suite 600', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20007', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'EDWARD D. BURBACH', 'contact_telephone': '+1 512-542-7070', 'dt_updated': '2024-01-30T10:13:24.800867-05:00'}","{'id': 57169, 'url': 'https://lda.senate.gov/api/v1/clients/57169/', 'client_id': 57169, 'name': 'SPORTING KANSAS CITY', 'general_description': 'The host committee for the 2026 Fifa World Cup games that will take place in Kansas City', 'client_government_entity': None, 'client_self_select': False, 'state': 'MO', 'state_display': 'Missouri', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'MO', 'ppb_state_display': 'Missouri', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2023-09-01'}",[],[],[],[],[],0,1,57169,https://lda.senate.gov/api/v1/clients/57169/,57169,SPORTING KANSAS CITY,The host committee for the 2026 Fifa World Cup games that will take place in Kansas City,,False,MO,Missouri,US,United States of America,MO,Missouri,US,United States of America,2023-09-01,15042,https://lda.senate.gov/api/v1/registrants/15042/,33563.0,FOLEY & LARDNER LLP,law firm,3000 K Street NW,Suite 600,,,Washington,DC,District of Columbia,20007,US,United States of America,US,United States of America,EDWARD D. BURBACH,+1 512-542-7070,2024-01-30T10:13:24.800867-05:00
https://lda.senate.gov/api/v1/filings/77b60aa6-917d-4c23-b678-5c18a04a8763/,77b60aa6-917d-4c23-b678-5c18a04a8763,3@Y,3rd Quarter - Termination Amendment (No Activity),2023,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/77b60aa6-917d-4c23-b678-5c18a04a8763/print/,text/html,,,,,Jim Kiley,2023-10-13T10:15:36-04:00,2023-07-21,United States of America,,1899 L St. NW,Suite 520,False,Washington,DC,20036,"{'id': 306636, 'url': 'https://lda.senate.gov/api/v1/registrants/306636/', 'house_registrant_id': 38176, 'name': 'THE NORMANDY GROUP, LLC', 'description': 'Government affairs', 'address_1': '1899 L St. NW', 'address_2': 'Suite 520', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20036', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'KATHERINE SCHMITZ', 'contact_telephone': '+1 202-774-0251', 'dt_updated': '2024-01-17T13:51:34.383597-05:00'}","{'id': 182133, 'url': 'https://lda.senate.gov/api/v1/clients/182133/', 'client_id': 1005406, 'name': 'LEADING BUILDERS OF AMERICA', 'general_description': 'Advocate for policies that support affordable housing', 'client_government_entity': False, 'client_self_select': None, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'DC', 'ppb_state_display': 'District of Columbia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2019-01-01'}",[],[],[],[],[],0,1,182133,https://lda.senate.gov/api/v1/clients/182133/,1005406,LEADING BUILDERS OF AMERICA,Advocate for policies that support affordable housing,False,,DC,District of Columbia,US,United States of America,DC,District of Columbia,US,United States of America,2019-01-01,306636,https://lda.senate.gov/api/v1/registrants/306636/,38176.0,"THE NORMANDY GROUP, LLC",Government affairs,1899 L St. NW,Suite 520,,,Washington,DC,District of Columbia,20036,US,United States of America,US,United States of America,KATHERINE SCHMITZ,+1 202-774-0251,2024-01-17T13:51:34.383597-05:00
https://lda.senate.gov/api/v1/filings/d9c38ff5-2d54-435b-950a-d4f6484d151a/,d9c38ff5-2d54-435b-950a-d4f6484d151a,3@Y,3rd Quarter - Termination Amendment (No Activity),2023,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/d9c38ff5-2d54-435b-950a-d4f6484d151a/print/,text/html,,,,,Bill Woolf,2023-10-13T15:10:04-04:00,2023-07-01,United States of America,,7585 Rio Grande Way,,False,Gainesville,VA,20155,"{'id': 401106692, 'url': 'https://lda.senate.gov/api/v1/registrants/401106692/', 'house_registrant_id': None, 'name': 'WOOLF STRATEGIC SOLUTIONS GROUP', 'description': None, 'address_1': '7585 Rio Grande Way', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Gainesville', 'state': 'VA', 'state_display': 'Virginia', 'zip': '20155', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BILL WOOLF', 'contact_telephone': '+1 571-641-7779', 'dt_updated': '2024-02-26T13:36:12.890653-05:00'}","{'id': 55209, 'url': 'https://lda.senate.gov/api/v1/clients/55209/', 'client_id': 55209, 'name': 'REHOPE', 'general_description': 'combat human trafficking and improve the health and well-being of survivors of trafficking', 'client_government_entity': None, 'client_self_select': False, 'state': 'MO', 'state_display': 'Missouri', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'MO', 'ppb_state_display': 'Missouri', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2023-03-15'}",[],[],[],[],[],0,1,55209,https://lda.senate.gov/api/v1/clients/55209/,55209,REHOPE,combat human trafficking and improve the health and well-being of survivors of trafficking,,False,MO,Missouri,US,United States of America,MO,Missouri,US,United States of America,2023-03-15,401106692,https://lda.senate.gov/api/v1/registrants/401106692/,,WOOLF STRATEGIC SOLUTIONS GROUP,,7585 Rio Grande Way,,,,Gainesville,VA,Virginia,20155,US,United States of America,US,United States of America,BILL WOOLF,+1 571-641-7779,2024-02-26T13:36:12.890653-05:00
https://lda.senate.gov/api/v1/filings/5b7c86d9-b758-475b-92f2-cf9dee9aa612/,5b7c86d9-b758-475b-92f2-cf9dee9aa612,3@Y,3rd Quarter - Termination Amendment (No Activity),2023,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/5b7c86d9-b758-475b-92f2-cf9dee9aa612/print/,text/html,,,,,Anna K. Hansen,2023-10-20T16:50:14-04:00,2023-09-30,United States of America,,440 1st Street NW,Suite 440,False,Washington,DC,20001,"{'id': 401107860, 'url': 'https://lda.senate.gov/api/v1/registrants/401107860/', 'house_registrant_id': None, 'name': 'MS. ANNA HANSEN', 'description': None, 'address_1': '440 1st Street NW', 'address_2': 'Suite 440', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'ANNA HANSEN', 'contact_telephone': '+1 202-695-9784', 'dt_updated': '2024-01-30T13:22:28.419818-05:00'}","{'id': 57006, 'url': 'https://lda.senate.gov/api/v1/clients/57006/', 'client_id': 57006, 'name': 'SULLIVAN STRATEGIES OBO AEYE, INC', 'general_description': 'transportation policy', 'client_government_entity': None, 'client_self_select': False, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'DC', 'ppb_state_display': 'District of Columbia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2023-09-01'}",[],[],[],[],[],0,1,57006,https://lda.senate.gov/api/v1/clients/57006/,57006,"SULLIVAN STRATEGIES OBO AEYE, INC",transportation policy,,False,DC,District of Columbia,US,United States of America,DC,District of Columbia,US,United States of America,2023-09-01,401107860,https://lda.senate.gov/api/v1/registrants/401107860/,,MS. ANNA HANSEN,,440 1st Street NW,Suite 440,,,Washington,DC,District of Columbia,20001,US,United States of America,US,United States of America,ANNA HANSEN,+1 202-695-9784,2024-01-30T13:22:28.419818-05:00
https://lda.senate.gov/api/v1/filings/2f614b39-95a0-457f-981e-9926469ee161/,2f614b39-95a0-457f-981e-9926469ee161,3@Y,3rd Quarter - Termination Amendment (No Activity),2023,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/2f614b39-95a0-457f-981e-9926469ee161/print/,text/html,,,,,Allison Feikes,2023-11-20T11:42:22-05:00,2023-08-30,United States of America,,209 W. Lamar Rd.,,False,Phoenix,AZ,85013,"{'id': 401107844, 'url': 'https://lda.senate.gov/api/v1/registrants/401107844/', 'house_registrant_id': None, 'name': 'AZ DC CONSULTING, LLC', 'description': None, 'address_1': '209 W. Lamar Rd.', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Phoenix', 'state': 'AZ', 'state_display': 'Arizona', 'zip': '85013', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'ALLISON FEIKES', 'contact_telephone': '+1 219-363-5327', 'dt_updated': '2024-01-21T12:41:32.781251-05:00'}","{'id': 56949, 'url': 'https://lda.senate.gov/api/v1/clients/56949/', 'client_id': 56949, 'name': 'KOZOLCHYK NATIONAL LAW CENTER', 'general_description': 'international commercial law reform non-profit', 'client_government_entity': None, 'client_self_select': False, 'state': 'AZ', 'state_display': 'Arizona', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'AZ', 'ppb_state_display': 'Arizona', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2023-08-01'}",[],[],[],[],[],0,1,56949,https://lda.senate.gov/api/v1/clients/56949/,56949,KOZOLCHYK NATIONAL LAW CENTER,international commercial law reform non-profit,,False,AZ,Arizona,US,United States of America,AZ,Arizona,US,United States of America,2023-08-01,401107844,https://lda.senate.gov/api/v1/registrants/401107844/,,"AZ DC CONSULTING, LLC",,209 W. Lamar Rd.,,,,Phoenix,AZ,Arizona,85013,US,United States of America,US,United States of America,ALLISON FEIKES,+1 219-363-5327,2024-01-21T12:41:32.781251-05:00
https://lda.senate.gov/api/v1/filings/4479016f-bc34-4bc4-9a90-170344c9d6e9/,4479016f-bc34-4bc4-9a90-170344c9d6e9,3@Y,3rd Quarter - Termination Amendment (No Activity),2023,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/4479016f-bc34-4bc4-9a90-170344c9d6e9/print/,text/html,,,,,Dennis R rehberg,2023-11-27T11:54:47-05:00,2023-07-01,United States of America,,4401 Highway 3,,False,Billings,MT,59106,"{'id': 401104729, 'url': 'https://lda.senate.gov/api/v1/registrants/401104729/', 'house_registrant_id': 401104729, 'name': 'GRANITE PEAK STRATEGIES, LLC', 'description': 'Public Affairs', 'address_1': '4401 Highway 3', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Billings', 'state': 'MT', 'state_display': 'Montana', 'zip': '59106', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'DENNY REHBERG', 'contact_telephone': '+1 406-413-5171', 'dt_updated': '2024-02-20T16:53:09.262495-05:00'}","{'id': 202526, 'url': 'https://lda.senate.gov/api/v1/clients/202526/', 'client_id': 36, 'name': 'CRESCENT PEAK RENEWABLES, LLC', 'general_description': 'Crescent Peak Wind Project', 'client_government_entity': False, 'client_self_select': None, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CA', 'ppb_state_display': 'California', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2020-11-01'}",[],[],[],[],[],0,1,202526,https://lda.senate.gov/api/v1/clients/202526/,36,"CRESCENT PEAK RENEWABLES, LLC",Crescent Peak Wind Project,False,,CA,California,US,United States of America,CA,California,US,United States of America,2020-11-01,401104729,https://lda.senate.gov/api/v1/registrants/401104729/,401104729.0,"GRANITE PEAK STRATEGIES, LLC",Public Affairs,4401 Highway 3,,,,Billings,MT,Montana,59106,US,United States of America,US,United States of America,DENNY REHBERG,+1 406-413-5171,2024-02-20T16:53:09.262495-05:00
